mod,defType,defName,label,classification,file
Armoury,ColorDef,guy762_StructureColor_ImpOfficerOlive,Imperial Officer Olive,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/Absorbed_KotorCore_ColorDefs_structure.xml
Armoury,ColorDef,guy762_StructureColor_JediSentinelBlue,Jedi Sentinel Blue,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/Absorbed_KotorCore_ColorDefs_structure.xml
Armoury,ColorDef,guy762_StructureColor_JuhaniBlue,Juhani's Cyan,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/Absorbed_KotorCore_ColorDefs_structure.xml
Armoury,ColorDef,guy762_StructureColor_MandoProtectorGreen,Mandalorian Protector Green,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/Absorbed_KotorCore_ColorDefs_structure.xml
Armoury,ColorDef,guy762_StructureColor_NeoCrusaderBlue,Neo-Crusader Blue,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/Absorbed_KotorCore_ColorDefs_structure.xml
Armoury,ColorDef,guy762_StructureColor_NewRepublicBlue,New Republic Azure,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/Absorbed_KotorCore_ColorDefs_structure.xml
Armoury,ColorDef,guy762_StructureColor_OldRepublicYellow,Old Republic Yellow,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/Absorbed_KotorCore_ColorDefs_structure.xml
Armoury,ColorDef,guy762_StructureColor_RallyMasterRed,Rally Master Red,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/Absorbed_KotorCore_ColorDefs_structure.xml
Armoury,ColorDef,guy762_StructureColor_RebelEngiGreen,Rebel Engineer Green,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/Absorbed_KotorCore_ColorDefs_structure.xml
Armoury,ColorDef,guy762_StructureColor_RoyalGuardRed,Royal Guard Red,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/Absorbed_KotorCore_ColorDefs_structure.xml
Armoury,ColorDef,guy762_StructureColor_SithUniformSlate,Sith Uniform Slate,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/Absorbed_KotorCore_ColorDefs_structure.xml
Armoury,ColorDef,guy762_StructureColor_StarForgeRed,Star Forge Red,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/Absorbed_KotorCore_ColorDefs_structure.xml
Armoury,ColorDef,guy762_StructureColor_T3M4Silver,T3-M4's Silver,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/Absorbed_KotorCore_ColorDefs_structure.xml
Armoury,ColorDef,guy762_StructureColor_VisasBurgundy,Visas' Burgundy,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/Absorbed_KotorCore_ColorDefs_structure.xml
Armoury,ColorDef,guy762_StructureColor_ZaalbarRed,Zaalbar's Red,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/Absorbed_KotorCore_ColorDefs_structure.xml
Armoury,ColorDef,guy762_StructureColor_ZalAlloyPurple,Zal Alloy Purple,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/Absorbed_KotorCore_ColorDefs_structure.xml
Armoury,DamageDef,RSW_Blaster_Damage,Blaster Burn,STRUCTURAL (no description in vanilla either),Armoury/Defs/DamageDefs/Absorbed_JDSArmory_Damage.xml
Armoury,DamageDef,RSW_RN2_SteelBall,shrapnel,STRUCTURAL (no description in vanilla either),Armoury/Defs/DamageDefs/Absorbed_Eweb_Damage.xml
Armoury,DamageDef,guy762_BeamDamage_disruptor,disruption,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/DamageDefs/Absorbed_KotorCore_BlasterDamages.xml
Armoury,DamageDef,guy762_BeamDamage_electrical,,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/DamageDefs/Absorbed_KotorCore_SpecialDamages.xml
Armoury,DamageDef,guy762_BeamDamage_energy,energy burn,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/DamageDefs/Absorbed_KotorCore_BlasterDamages.xml
Armoury,DamageDef,guy762_BeamDamage_radiation,radiation,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/DamageDefs/Absorbed_KotorCore_SpecialDamages.xml
Armoury,DamageDef,guy762_ExplosiveDamage_AntiVehicleEnergy,energy burn,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/DamageDefs/Absorbed_KotorCore_SpecialDamages.xml
Armoury,DamageDef,guy762_ExplosiveDamage_disruptor,disruption,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/DamageDefs/Absorbed_KotorCore_BlasterDamages.xml
Armoury,DamageDef,guy762_ExplosiveDamage_energy,energy burn,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/DamageDefs/Absorbed_KotorCore_BlasterDamages.xml
Armoury,DamageDef,guy762_ExplosiveDamage_ion,ionization,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/DamageDefs/Absorbed_KotorCore_BlasterDamages.xml
Armoury,DamageDef,guy762_GrenadeDamage_detpack,,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/DamageDefs/Absorbed_KotorCore_GrenadeDamages.xml
Armoury,DamageDef,guy762_GrenadeDamage_energy,energy burn,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/DamageDefs/Absorbed_KotorCore_GrenadeDamages.xml
Armoury,DamageDef,guy762_GrenadeDamage_frag,fragmentation shrapnel,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/DamageDefs/Absorbed_KotorCore_GrenadeDamages.xml
Armoury,DamageDef,guy762_GrenadeDamage_ion,ionization,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/DamageDefs/Absorbed_KotorCore_GrenadeDamages.xml
Armoury,DamageDef,guy762_GrenadeDamage_plasma,,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/DamageDefs/Absorbed_KotorCore_GrenadeDamages.xml
Armoury,DamageDef,guy762_GrenadeDamage_sonic,sonic fracturing,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/DamageDefs/Absorbed_KotorCore_GrenadeDamages.xml
Armoury,DamageDef,guy762_GrenadeDamage_stun,stun,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/DamageDefs/Absorbed_KotorCore_GrenadeDamages.xml
Armoury,DamageDef,guy762_GrenadeDamage_thermaldet,,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/DamageDefs/Absorbed_KotorCore_GrenadeDamages.xml
Armoury,DamageDef,guy762_InternalDamage_decay,decay,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/DamageDefs/Absorbed_KotorCore_SpecialDamages.xml
Armoury,DamageDef,guy762_InternalDamage_ion,internal ionization,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/DamageDefs/Absorbed_KotorCore_SpecialDamages.xml
Armoury,DamageDef,guy762_MeleeDamage_ecut,energy cut,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/DamageDefs/Absorbed_KotorCore_MeleeDamages.xml
Armoury,DamageDef,guy762_MeleeDamage_electrical,electrical burn,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/DamageDefs/Absorbed_KotorCore_MeleeDamages.xml
Armoury,DamageDef,guy762_MeleeDamage_energy,,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/DamageDefs/Absorbed_KotorCore_MeleeDamages.xml
Armoury,DamageDef,guy762_MeleeDamage_estab,energy stab,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/DamageDefs/Absorbed_KotorCore_MeleeDamages.xml
Armoury,DamageDef,guy762_MeleeDamage_ion,ionization,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/DamageDefs/Absorbed_KotorCore_MeleeDamages.xml
Armoury,DamageDef,guy762_MeleeDamage_sonic,sonic fracturing,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/DamageDefs/Absorbed_KotorCore_MeleeDamages.xml
Armoury,DamageDef,guy762_MeleeDamage_unstoppable,penetrating strike,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/DamageDefs/Absorbed_KotorCore_MeleeDamages.xml
Armoury,DamageDef,guy762_PoisonDamage_saber,Saber poison,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/DamageDefs/Absorbed_KotorCore_SpecialDamages.xml
Armoury,DamageDef,guy762_RangedDamage_AntiVehicleEnergy,energy burn,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/DamageDefs/Absorbed_KotorCore_SpecialDamages.xml
Armoury,DamageDef,guy762_RangedDamage_KOstun,K-O stun,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/DamageDefs/Absorbed_KotorCore_SpecialDamages.xml
Armoury,DamageDef,guy762_RangedDamage_disruptor,disruption,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/DamageDefs/Absorbed_KotorCore_BlasterDamages.xml
Armoury,DamageDef,guy762_RangedDamage_electrical,electrical burn,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/DamageDefs/Absorbed_KotorCore_SpecialDamages.xml
Armoury,DamageDef,guy762_RangedDamage_energy,energy burn,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/DamageDefs/Absorbed_KotorCore_BlasterDamages.xml
Armoury,DamageDef,guy762_RangedDamage_ion,ionization,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/DamageDefs/Absorbed_KotorCore_BlasterDamages.xml
Armoury,DamageDef,guy762_RangedDamage_kolto,Kolto,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/DamageDefs/Absorbed_KotorCore_DamageAndProjectileDefs_KotORDroidUtilityWeapons.xml
Armoury,DamageDef,guy762_RangedDamage_sonic,sonic fracturing,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/DamageDefs/Absorbed_KotorCore_BlasterDamages.xml
Armoury,DesignatorDropdownGroupDef,guy762_DoorDropdown_SWAutoDoors,autodoors,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/ThingDefs_Buildings/Absorbed_KotorCore_Structure_SWDoors.xml
Armoury,DesignatorDropdownGroupDef,guy762_DoorDropdown_SWDoubleAutoDoors,double autodoors,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/ThingDefs_Buildings/Absorbed_KotorCore_Structure_SWDoors.xml
Armoury,DesignatorDropdownGroupDef,guy762_FloorTileDropdown_SWMetallic,metallic tiles,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/ThingDefs_Buildings/Absorbed_KotorCore_Terrain_SWFloors.xml
Armoury,DesignatorDropdownGroupDef,guy762_SecretFloorPanelDropdown,inconspicuous floor panels,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_AdditionalMods/kotorcore/AdaptiveStorageFramework/Absorbed_Kotorcore_AdaptiveStorageFramework_HiddenSmugglingCompartmentPanels.xml
Armoury,DesignatorDropdownGroupDef,guy762_WallDropdown_SWPowered,powered fortified walls,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/ThingDefs_Buildings/Absorbed_KotorCore_Structure_SWWalls.xml
Armoury,DesignatorDropdownGroupDef,kotor_gonk_Designator,,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/ThingDefs_Buildings/Absorbed_KotorCore_Building_GonkDroids.xml
Armoury,EffecterDef,SWCP_VATSLegendaryEffect_Explosive_Explosion,,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/Absorbed_KotorCore_Thing_VATS_Zoomer.xml
Armoury,EffecterDef,guy762_Effecter_GonkDroid,,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/ThingDefs_Buildings/Absorbed_KotorCore_Building_GonkDroids.xml
Armoury,EffecterDef,guy762_Effecter_UsingConsole,,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/ThingDefs_Buildings/Absorbed_KotorCore_Building_DecorativeTerminals.xml
Armoury,EffecterDef,guy762_Effecter_UsingGreenHoloscreen,,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/ThingDefs_Buildings/Absorbed_KotorCore_Building_DecorativeTerminals.xml
Armoury,EffecterDef,guy762_Effecter_UsingSmallTerminal,,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/ThingDefs_Buildings/Absorbed_KotorCore_Building_DecorativeTerminals.xml
Armoury,FleckDef,guy762_SWStarfighter_waypoint,,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/Absorbed_KotorCore_MotesAndFlecks.xml
Armoury,GenStepDef,Force_CrystalFormation,,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_TheForceLightsaber/ThingDef_Building/Absorbed_TheForceLightsaber_CrystalMapGenerator.xml
Armoury,GenStepDef,KOTOR_CrystalFormation,,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/ThingDefs_Resources/Absorbed_KotorCore_CrystalMapGenerator.xml
Armoury,GenStepDef,KOTOR_JunkPileClusters,,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/ThingDefs_Resources/Absorbed_KotorCore_JunkMapGenerator.xml
Armoury,HairDef,guy762_Hair_Juhani,Juhani,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorWeapons/ThingDefs_Apparel/Absorbed_KotorWeapons_Apparel_KotORHeroApparel.xml
Armoury,HairDef,guy762_Hair_Traya,Darth Traya,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorWeapons/ThingDefs_Apparel/Absorbed_KotorWeapons_Apparel_ImmortalusSithLords.xml
Armoury,JobDef,CarryToKoltoTank,,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/ThingDefs_Resources/Absorbed_KotorCore_KotORResource_Kolto.xml
Armoury,JobDef,CastJumpOnce,,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/Absorbed_KotorCore_JobDef_JumppackForMeleeAI.xml
Armoury,JobDef,EnterKoltoTank,,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/ThingDefs_Resources/Absorbed_KotorCore_KotORResource_Kolto.xml
Armoury,JobDef,MinePocket_Job,,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/Absorbed_KotorCore_JobDefs_misc.xml
Armoury,JobDef,guy762_Job_WatchTerminal,,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/ThingDefs_Buildings/Absorbed_KotorCore_Building_DecorativeTerminals.xml
Armoury,JoyGiverDef,WatchHolo,,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/ThingDefs_Buildings/Absorbed_KotorCore_Czerkatech_Holo.xml
Armoury,JoyGiverDef,guy762_JoyGiver_WatchDecorativeTerminal,,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/ThingDefs_Buildings/Absorbed_KotorCore_Building_DecorativeTerminals.xml
Armoury,JoyGiverDef,guy762_JoyGiver_pazaak,,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/ThingDefs_Buildings/Absorbed_KotorCore_Czerkatech_Table.xml
Armoury,LetterDef,SWCP_Letter_AcceptStoryteller,,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/Absorbed_KotorCore_LetterDef_StorytellerJoiner.xml
Armoury,Lightsaber.HiltPartCategoryDef,guy762_SWForceLightsabersPartCategory_colorcrystal,Color Crystal,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_AdditionalMods/kotorweapons/TheForceLightsabers/Absorbed_Kotorweapons_TheForceLightsabers_HiltPartDefs_KotORColorCrystals.xml
Armoury,Lightsaber.HiltPartCategoryDef,guy762_SWForceLightsabersPartCategory_focuscrystal,Focus Crystal,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_AdditionalMods/kotorweapons/TheForceLightsabers/Absorbed_Kotorweapons_TheForceLightsabers_HiltPartDefs_KotORFocusingCrystals.xml
Armoury,Lightsaber.HiltPartCategoryDef,guy762_SWForceLightsabersPartCategory_powercrystal,Power Crystal,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_AdditionalMods/kotorweapons/TheForceLightsabers/Absorbed_Kotorweapons_TheForceLightsabers_HiltPartDefs_KotORPowerCrystals.xml
Armoury,ManeuverDef,guy762_Maneuver_SaberSlash,,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/ThingDefs_WeaponsArmorsGadgets/Absorbed_KotorCore__BASE_SWKotORWeapons.xml
Armoury,ManeuverDef,guy762_Maneuver_SaberStab,,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/ThingDefs_WeaponsArmorsGadgets/Absorbed_KotorCore__BASE_SWKotORWeapons.xml
Armoury,ModularWeapons2.ModularPartsMountDef,guy762_KotORMount_armortech,armor tech,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_AdditionalMods/kotorcore/ModularWeapons2/Absorbed_Kotorcore_ModularWeapons2_ModularPartsMountsBase.xml
Armoury,ModularWeapons2.ModularPartsMountDef,guy762_KotORMount_beam_NoVerbs,beam splitter,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_AdditionalMods/kotorcore/ModularWeapons2/Absorbed_Kotorcore_ModularWeapons2_ModularPartsMountsBase.xml
Armoury,ModularWeapons2.ModularPartsMountDef,guy762_KotORMount_beam_blasterDMG,beam splitter,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorWeapons/ModularPartDefs/Absorbed_KotorWeapons_ModularPartDefs_RangedVerbs_blasterDMG.xml
Armoury,ModularWeapons2.ModularPartsMountDef,guy762_KotORMount_beam_disruptorDMG,beam splitter,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorWeapons/ModularPartDefs/Absorbed_KotorWeapons_ModularPartDefs_RangedVerbs_disruptorDMG.xml
Armoury,ModularWeapons2.ModularPartsMountDef,guy762_KotORMount_beam_ionDMG,beam splitter,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorWeapons/ModularPartDefs/Absorbed_KotorWeapons_ModularPartDefs_RangedVerbs_ionDMG.xml
Armoury,ModularWeapons2.ModularPartsMountDef,guy762_KotORMount_beam_slugrifle,beam splitter,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorWeapons/ModularPartDefs/Absorbed_KotorWeapons_ModularPartDefs_RangedVerbs_BowcasterSlugrifles.xml
Armoury,ModularWeapons2.ModularPartsMountDef,guy762_KotORMount_beam_stunDMG,beam splitter,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorWeapons/ModularPartDefs/Absorbed_KotorWeapons_ModularPartDefs_RangedVerbs_stunDMG.xml
Armoury,ModularWeapons2.ModularPartsMountDef,guy762_KotORMount_chamber,firing chamber,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_AdditionalMods/kotorcore/ModularWeapons2/Absorbed_Kotorcore_ModularWeapons2_ModularPartsMountsBase.xml
Armoury,ModularWeapons2.ModularPartsMountDef,guy762_KotORMount_core,core alloy,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_AdditionalMods/kotorcore/ModularWeapons2/Absorbed_Kotorcore_ModularWeapons2_ModularPartsMountsBase.xml
Armoury,ModularWeapons2.ModularPartsMountDef,guy762_KotORMount_ecell,energy cell,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_AdditionalMods/kotorcore/ModularWeapons2/Absorbed_Kotorcore_ModularWeapons2_ModularPartsMountsBase.xml
Armoury,ModularWeapons2.ModularPartsMountDef,guy762_KotORMount_ecell_electrostaff,energy cell,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_AdditionalMods/kotorcore/ModularWeapons2/Absorbed_Kotorcore_ModularWeapons2_ModularPartsMountsBase.xml
Armoury,ModularWeapons2.ModularPartsMountDef,guy762_KotORMount_ecell_stunbaton,energy cell,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_AdditionalMods/kotorcore/ModularWeapons2/Absorbed_Kotorcore_ModularWeapons2_ModularPartsMountsBase.xml
Armoury,ModularWeapons2.ModularPartsMountDef,guy762_KotORMount_ecell_vibroaxe,energy cell,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_AdditionalMods/kotorcore/ModularWeapons2/Absorbed_Kotorcore_ModularWeapons2_ModularPartsMountsBase.xml
Armoury,ModularWeapons2.ModularPartsMountDef,guy762_KotORMount_ecell_vibroblade,energy cell,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_AdditionalMods/kotorcore/ModularWeapons2/Absorbed_Kotorcore_ModularWeapons2_ModularPartsMountsBase.xml
Armoury,ModularWeapons2.ModularPartsMountDef,guy762_KotORMount_ecell_vibrodubblade,energy cell,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_AdditionalMods/kotorcore/ModularWeapons2/Absorbed_Kotorcore_ModularWeapons2_ModularPartsMountsBase.xml
Armoury,ModularWeapons2.ModularPartsMountDef,guy762_KotORMount_ecell_vibroglaive,energy cell,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_AdditionalMods/kotorcore/ModularWeapons2/Absorbed_Kotorcore_ModularWeapons2_ModularPartsMountsBase.xml
Armoury,ModularWeapons2.ModularPartsMountDef,guy762_KotORMount_ecell_vibrosword,energy cell,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_AdditionalMods/kotorcore/ModularWeapons2/Absorbed_Kotorcore_ModularWeapons2_ModularPartsMountsBase.xml
