defName,label,modName,packageId,workerClass,categories,gate
AB_EdibleAirborneMicrofungi,edible airborne micro-fungi,Alpha Biomes,sarg.alphabiomes,,,
AB_ExplodingAnimals,exploding animals,Alpha Biomes,sarg.alphabiomes,,,
AB_ExtremeTemperatureFluctuations,extreme temperature fluctuations,Alpha Biomes,sarg.alphabiomes,,,
AB_FleshTrees,flesh trees,Alpha Biomes,sarg.alphabiomes,RimWorld.TileMutatorWorker_WildPlants,WildPlants,
AB_GelatinousMemoryEcho,gelatinous memory echo,Alpha Biomes,sarg.alphabiomes,,,
AB_GiantFossils,giant fossils,Alpha Biomes,sarg.alphabiomes,VEF.Maps.TileMutatorWorker_GenericKCSGSpawner,,
AB_GoldenTrees,golden cube trees,Alpha Biomes,sarg.alphabiomes,RimWorld.TileMutatorWorker_WildPlants,WildPlants,
AB_HealingSprings,healing springs,Alpha Biomes,sarg.alphabiomes,AlphaBiomes.TileMutatorWorker_HealingSprings,Lake,minHilliness=Mountainous;coastSides=0..0
AB_LuminescentTrees,luminescent trees,Alpha Biomes,sarg.alphabiomes,RimWorld.TileMutatorWorker_WildPlants,WildPlants,
AB_MoldyEnvironment,moldy environment,Alpha Biomes,sarg.alphabiomes,,,
AB_MutagenicSprings,mutagenic ocular springs,Alpha Biomes,sarg.alphabiomes,AlphaBiomes.TileMutatorWorker_MutagenicSprings,Lake,coastSides=0..0
AB_NarrowRegion,narrow region,Alpha Biomes,sarg.alphabiomes,,VEE_MapSize,
AB_OcularTransformation,ocular transformation,Alpha Biomes,sarg.alphabiomes,RimWorld.TileMutatorWorker_WildPlants,WildPlants,
AB_OversaturatedSoil,oversaturated soil,Alpha Biomes,sarg.alphabiomes,VEF.Maps.TileMutatorWorker_TerrainSwapper,VEE_Fertility,
AB_PetalStorms,petal storms,Alpha Biomes,sarg.alphabiomes,RimWorld.TileMutatorWorker_IncreaseWeatherFrequency,,
AB_PollinationFrenzy,pollination frenzy,Alpha Biomes,sarg.alphabiomes,,,
AB_PropaneLakes,propane lakes,Alpha Biomes,sarg.alphabiomes,AlphaBiomes.TileMutatorWorker_PropaneLakes,Lake,coastSides=0..1
AB_QuiveringSurface,quivering surface,Alpha Biomes,sarg.alphabiomes,,,
AB_ResidualOverclocking,residual overclocking,Alpha Biomes,sarg.alphabiomes,,,
AB_SterileGround,sterile ground,Alpha Biomes,sarg.alphabiomes,AlphaBiomes.TileMutatorWorker_OnlyGrass,,
AB_SymbioticNutrients,symbiotic nutrients,Alpha Biomes,sarg.alphabiomes,,,
AB_TechnoTrees,technological trees,Alpha Biomes,sarg.alphabiomes,RimWorld.TileMutatorWorker_WildPlants,WildPlants,
AB_WideRegion,wide region,Alpha Biomes,sarg.alphabiomes,,VEE_MapSize,
AncientInfestedSettlement,infested settlement,Odyssey,ludeon.rimworld.odyssey,RimWorld.TileMutatorWorker_AncientStructure,,
AncientSmokeVent,ancient smoke vent,Odyssey,ludeon.rimworld.odyssey,RimWorld.TileMutatorWorker_AncientSmokeVent,AncientVent,
AncientToxVent,ancient toxic vent,Odyssey,ludeon.rimworld.odyssey,RimWorld.TileMutatorWorker_AncientToxVent,AncientVent,
AncientUplink,ancient uplink,Odyssey,ludeon.rimworld.odyssey,RimWorld.TileMutatorWorker_AncientUplink,,
AnimalHabitat,animal habitat,Odyssey,ludeon.rimworld.odyssey,RimWorld.TileMutatorWorker_AnimalHabitat,,
AnimalLife_Decreased,decreased animal life,Odyssey,ludeon.rimworld.odyssey,,AnimalLife,
AnimalLife_Increased,increased animal life,Odyssey,ludeon.rimworld.odyssey,,AnimalLife,
ArcheanTrees,archean trees,Odyssey,ludeon.rimworld.odyssey,RimWorld.TileMutatorWorker_ArcheanTrees,,
CaveLakes,cave pools,Odyssey,ludeon.rimworld.odyssey,RimWorld.TileMutatorWorker_CaveLakes,"Caves,Groundwater",
CoastalAtoll,coastal atoll,Odyssey,ludeon.rimworld.odyssey,RimWorld.TileMutatorWorker_CoastalAtoll,Coast,maxHilliness=SmallHills;coastSides=3..5
Cove,bay,Odyssey,ludeon.rimworld.odyssey,RimWorld.TileMutatorWorker_Cove,Coast,coastSides=1..5
Crevasse,crevasse,Odyssey,ludeon.rimworld.odyssey,RimWorld.TileMutatorWorker_Crevasse,Mountain,maxHilliness=Flat;coastSides=0..0
DA_LeviathanNest,leviathan nestbed,Dark Ages : Beasts and Monsters,van.beasts,RimWorld.TileMutatorWorker_Coast,Coast,coastSides=1..5
DA_SnaptoadBreedingGrounds,snaptoad breeding grounds,Dark Ages : Beasts and Monsters,van.beasts,,,
Fertile,fertile,Odyssey,ludeon.rimworld.odyssey,RimWorld.TileMutatorWorker_Patches,VEE_Fertility,
Fish_Decreased,decreased fish,Odyssey,ludeon.rimworld.odyssey,,Fish,
Fish_Increased,increased fish,Odyssey,ludeon.rimworld.odyssey,,Fish,
Fjord,fjord,Odyssey,ludeon.rimworld.odyssey,RimWorld.TileMutatorWorker_Fjord,Coast,minHilliness=Mountainous;coastSides=1..5
FoggyMutator,foggy,Odyssey,ludeon.rimworld.odyssey,RimWorld.TileMutatorWorker_IncreaseWeatherFrequency,Weather,
GL_Archipelago,,Geological Landforms,m00nl1ght.geologicallandforms,GeologicalLandforms.TileMutatorWorker_Landform,Coast,
GL_Atoll,,Geological Landforms,m00nl1ght.geologicallandforms,GeologicalLandforms.TileMutatorWorker_Landform,Coast,
GL_Badlands,,Geological Landforms,m00nl1ght.geologicallandforms,GeologicalLandforms.TileMutatorWorker_Landform,Groundwater,
GL_BiomeTransitions,,Biome Transitions,m00nl1ght.geologicallandforms.biometransitions,GeologicalLandforms.TileMutatorWorker_Landform,,
GL_Caldera,,Geological Landforms,m00nl1ght.geologicallandforms,GeologicalLandforms.TileMutatorWorker_Landform,Mountain,
GL_Canyon,,Geological Landforms,m00nl1ght.geologicallandforms,GeologicalLandforms.TileMutatorWorker_Landform,Mountain,
GL_CaveEntrance,,Geological Landforms,m00nl1ght.geologicallandforms,GeologicalLandforms.TileMutatorWorker_Landform,"Mountain,Caves",
GL_Cirque,,Geological Landforms,m00nl1ght.geologicallandforms,GeologicalLandforms.TileMutatorWorker_Landform,Mountain,
GL_Cliff,,Geological Landforms,m00nl1ght.geologicallandforms,GeologicalLandforms.TileMutatorWorker_Landform,Mountain,
GL_CliffAndCoast,,Geological Landforms,m00nl1ght.geologicallandforms,GeologicalLandforms.TileMutatorWorker_Landform,"Coast,Mountain",
GL_CliffCorner,,Geological Landforms,m00nl1ght.geologicallandforms,GeologicalLandforms.TileMutatorWorker_Landform,Mountain,
GL_Coast,,Geological Landforms,m00nl1ght.geologicallandforms,GeologicalLandforms.TileMutatorWorker_Landform,Coast,
GL_CoastCorner,,Geological Landforms,m00nl1ght.geologicallandforms,GeologicalLandforms.TileMutatorWorker_Landform,Coast,
GL_CoastalIsland,,Geological Landforms,m00nl1ght.geologicallandforms,GeologicalLandforms.TileMutatorWorker_Landform,Coast,
GL_Cove,,Geological Landforms,m00nl1ght.geologicallandforms,GeologicalLandforms.TileMutatorWorker_Landform,Coast,
GL_CoveWithIsland,,Geological Landforms,m00nl1ght.geologicallandforms,GeologicalLandforms.TileMutatorWorker_Landform,Coast,
GL_Crater,,Geological Landforms,m00nl1ght.geologicallandforms,GeologicalLandforms.TileMutatorWorker_Landform,Mountain,
GL_DesertPlateau,,Geological Landforms,m00nl1ght.geologicallandforms,GeologicalLandforms.TileMutatorWorker_Landform,Groundwater,
GL_DryLake,,Geological Landforms,m00nl1ght.geologicallandforms,GeologicalLandforms.TileMutatorWorker_Landform,Lake,
GL_Fjord,,Geological Landforms,m00nl1ght.geologicallandforms,GeologicalLandforms.TileMutatorWorker_Landform,"Coast,Mountain",
GL_Glacier,,Geological Landforms,m00nl1ght.geologicallandforms,GeologicalLandforms.TileMutatorWorker_Landform,Mountain,
GL_Gorge,,Geological Landforms,m00nl1ght.geologicallandforms,GeologicalLandforms.TileMutatorWorker_Landform,Mountain,
GL_IceOasis,,Geological Landforms,m00nl1ght.geologicallandforms,GeologicalLandforms.TileMutatorWorker_Landform,Groundwater,
GL_Island,,Geological Landforms,m00nl1ght.geologicallandforms,GeologicalLandforms.TileMutatorWorker_Landform,Coast,
GL_Lake,,Geological Landforms,m00nl1ght.geologicallandforms,GeologicalLandforms.TileMutatorWorker_Landform,Lake,
GL_LakeWithIsland,,Geological Landforms,m00nl1ght.geologicallandforms,GeologicalLandforms.TileMutatorWorker_Landform,Lake,
GL_Landbridge,,Geological Landforms,m00nl1ght.geologicallandforms,GeologicalLandforms.TileMutatorWorker_Landform,Coast,
GL_LoneMountain,,Geological Landforms,m00nl1ght.geologicallandforms,GeologicalLandforms.TileMutatorWorker_Landform,Mountain,
GL_Oasis,,Geological Landforms,m00nl1ght.geologicallandforms,GeologicalLandforms.TileMutatorWorker_Landform,Groundwater,
GL_Peninsula,,Geological Landforms,m00nl1ght.geologicallandforms,GeologicalLandforms.TileMutatorWorker_Landform,Coast,
GL_Rift,,Geological Landforms,m00nl1ght.geologicallandforms,GeologicalLandforms.TileMutatorWorker_Landform,Mountain,
GL_River,,Geological Landforms,m00nl1ght.geologicallandforms,GeologicalLandforms.TileMutatorWorker_Landform,River,
GL_RiverConfluence,,Geological Landforms,m00nl1ght.geologicallandforms,GeologicalLandforms.TileMutatorWorker_Landform,River,
GL_RiverDelta,,Geological Landforms,m00nl1ght.geologicallandforms,GeologicalLandforms.TileMutatorWorker_Landform,River,
GL_RiverIsland,,Geological Landforms,m00nl1ght.geologicallandforms,GeologicalLandforms.TileMutatorWorker_Landform,River,
GL_RiverSource,,Geological Landforms,m00nl1ght.geologicallandforms,GeologicalLandforms.TileMutatorWorker_Landform,River,
GL_RiverTerrain,,Geological Landforms,m00nl1ght.geologicallandforms,GeologicalLandforms.TileMutatorWorker_Landform,,
GL_SecludedCove,,Geological Landforms,m00nl1ght.geologicallandforms,GeologicalLandforms.TileMutatorWorker_Landform,"Coast,Mountain",
GL_SecludedValley,,Geological Landforms,m00nl1ght.geologicallandforms,GeologicalLandforms.TileMutatorWorker_Landform,"Mountain,Caves",
GL_Sinkhole,,Geological Landforms,m00nl1ght.geologicallandforms,GeologicalLandforms.TileMutatorWorker_Landform,"Mountain,Caves",
GL_Skerry,,Geological Landforms,m00nl1ght.geologicallandforms,GeologicalLandforms.TileMutatorWorker_Landform,Coast,
GL_SurfaceCave,,Geological Landforms,m00nl1ght.geologicallandforms,GeologicalLandforms.TileMutatorWorker_Landform,"Mountain,Caves",
GL_SwampHill,,Geological Landforms,m00nl1ght.geologicallandforms,GeologicalLandforms.TileMutatorWorker_Landform,Mountain,
GL_Tombolo,,Geological Landforms,m00nl1ght.geologicallandforms,GeologicalLandforms.TileMutatorWorker_Landform,Coast,
GL_Valley,,Geological Landforms,m00nl1ght.geologicallandforms,GeologicalLandforms.TileMutatorWorker_Landform,Mountain,
Harbor,harbor,Odyssey,ludeon.rimworld.odyssey,RimWorld.TileMutatorWorker_Harbor,,
Headwater,headwater,Odyssey,ludeon.rimworld.odyssey,RimWorld.TileMutatorWorker_Headwater,"River,Lake",
IceCaves,ice caves,Odyssey,ludeon.rimworld.odyssey,RimWorld.TileMutatorWorker_IceCaves,Caves,
IceDunes,ice dunes,Odyssey,ludeon.rimworld.odyssey,RimWorld.TileMutatorWorker_IceDunes,Mountain,maxHilliness=Flat
Iceberg,iceberg,Odyssey,ludeon.rimworld.odyssey,RimWorld.TileMutatorWorker_Iceberg,Coast,coastSides=3..5
Lake,lake,Odyssey,ludeon.rimworld.odyssey,RimWorld.TileMutatorWorker_Lake,Lake,coastSides=0..0
LakeWithIsland,lake with island,Odyssey,ludeon.rimworld.odyssey,RimWorld.TileMutatorWorker_LakeWithIsland,Lake,coastSides=0..0
LakeWithIslands,lake with island,Odyssey,ludeon.rimworld.odyssey,RimWorld.TileMutatorWorker_LakeWithIslands,Lake,coastSides=0..0
Lakeshore,lakeshore,Odyssey,ludeon.rimworld.odyssey,RimWorld.TileMutatorWorker_Lakeshore,Coast,
LavaCaves,lava caves,Odyssey,ludeon.rimworld.odyssey,RimWorld.TileMutatorWorker_LavaCaves,Caves,
MixedBiome,mixed biome,Odyssey,ludeon.rimworld.odyssey,RimWorld.TileMutatorWorker_MixedBiome,,
ObsidianDeposits,obsidian deposits,Odyssey,ludeon.rimworld.odyssey,RimWorld.TileMutatorWorker_ObsidianDeposits,,
PlantGrove,plant grove,Odyssey,ludeon.rimworld.odyssey,RimWorld.TileMutatorWorker_PlantGrove,"WildPlants,VEE_GroveAndNoTrees",
PlantLife_Decreased,decreased plant life,Odyssey,ludeon.rimworld.odyssey,,"PlantLife,VEE_LowPlantPlentifulGrass",
Pollution_Increased,increased pollution,Odyssey,ludeon.rimworld.odyssey,RimWorld.TileMutatorWorker_IncreasedPollution,Pollution,
RM_InhabitedPlace,inhabited place,Inhabited (local),mandrake.rm.inhabited,,,
RSW_BanthaGraveyard,bantha graveyard,RimStarWars: Structure Injections,mandrake.rsw.injections,,,
RSW_HuntingLodge,hunting lodge,RimStarWars: Structure Injections,mandrake.rsw.injections,,,
RSW_KraytGraveyard,krayt graveyard,RimStarWars: Structure Injections,mandrake.rsw.injections,,,
RSW_MoistureFarm,moisture farm,RimStarWars: Structure Injections,mandrake.rsw.injections,,,
RSW_MynockRoost,mynock roost,RimStarWars: Structure Injections,mandrake.rsw.injections,,,
RSW_PodracerWreck,podracer wreck,RimStarWars: Structure Injections,mandrake.rsw.injections,,,
RiverConfluence,river confluence,Odyssey,ludeon.rimworld.odyssey,RimWorld.TileMutatorWorker_RiverConfluence,River,
RiverIsland,river island,Odyssey,ludeon.rimworld.odyssey,RimWorld.TileMutatorWorker_RiverIsland,River,
Sandy,sandy,Odyssey,ludeon.rimworld.odyssey,RimWorld.TileMutatorWorker_Patches,,
Stockpile,stockpile,Odyssey,ludeon.rimworld.odyssey,RimWorld.TileMutatorWorker_Stockpile,,
SunnyMutator,sunny,Odyssey,ludeon.rimworld.odyssey,RimWorld.TileMutatorWorker_IncreaseWeatherFrequency,Weather,
UndergroundCave,underground cave,Core,ludeon.rimworld,RimWorld.TileMutatorWorker_UndergroundCave,Caves,
VEE_AbandonedFarmland,abandoned farmland,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VEF.Maps.TileMutatorWorker_GenericPrefabSpawner,,coastSides=0..2
VEE_AbundantPredators,abundant predators,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VanillaExplorationExpanded.TileMutatorWorker_Predators,VEE_AnimalDensities,
VEE_AbundantPrey,abundant prey,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VanillaExplorationExpanded.TileMutatorWorker_Prey,VEE_AnimalDensities,
VEE_AggressiveHerds,aggressive herds,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,,VEE_AnimalWildness,
VEE_Alphabeavers,alphabeavers,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,,,
VEE_AnimaFauna,anima fauna,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VEF.Maps.TileMutatorWorker_ExtraAnimal,,
VEE_AnimaFlora,anima flora,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VanillaExplorationExpanded.TileMutatorWorker_RemoveSpecificFlora,,
VEE_AnimaSoils,anima soils,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VanillaExplorationExpanded.TileMutatorWorker_AnimaSoils,,
VEE_AnimaSoils_Coast,anima soils,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VanillaExplorationExpanded.TileMutatorWorker_AnimaSoils,,coastSides=1..6
VEE_AuburnTree_Birches,auburn birches,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VEF.Maps.TileMutatorWorker_PlantsWithCommonality,VEE_AuburnTree_BirchesAndNoTrees,
VEE_AuburnTree_Maples,auburn maples,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VEF.Maps.TileMutatorWorker_PlantsWithCommonality,VEE_AuburnTree_MaplesAndNoTrees,
VEE_AuburnTree_Oaks,auburn oaks,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VEF.Maps.TileMutatorWorker_PlantsWithCommonality,VEE_AuburnTree_OaksAndNoTrees,
VEE_AuburnTree_Poplars,auburn poplars,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VEF.Maps.TileMutatorWorker_PlantsWithCommonality,VEE_AuburnTree_PoplarsAndNoTrees,
VEE_BasaltCape,basalt cape,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,RimWorld.TileMutatorWorker_Peninsula,Coast,coastSides=3..5
VEE_Blooming_Buttercup,blooming buttercups,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VEF.Maps.TileMutatorWorker_PlantsWithCommonality,,
VEE_Blooming_ForgetMeNot,blooming forget-me-nots,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VEF.Maps.TileMutatorWorker_PlantsWithCommonality,,
VEE_Blooming_Knapweed,blooming knapweed,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VEF.Maps.TileMutatorWorker_PlantsWithCommonality,,
VEE_Blooming_Loosestrife,blooming loosestrife,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VEF.Maps.TileMutatorWorker_PlantsWithCommonality,,
VEE_BombardedSurface,bombarded surface,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,,,
VEE_BurnedForest,burned forest,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VanillaExplorationExpanded.TileMutatorWorker_BurnedForest,,
VEE_Cactus_Beavertail,beavertail cacti,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VEF.Maps.TileMutatorWorker_PlantsWithCommonality,,
VEE_Cactus_OrganPipe,organ pipe cacti,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VEF.Maps.TileMutatorWorker_PlantsWithCommonality,,
VEE_CalmBasin,calm basin,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VanillaExplorationExpanded.TileMutatorWorker_CalmBasin,Mountain,maxHilliness=Flat;coastSides=0..0
VEE_ColossalFauna,colossal fauna,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,,VEE_AnimalSize,
VEE_ContaminatedCoast,contaminated coast,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VanillaExplorationExpanded.TileMutatorWorker_ContaminatedCoast,,maxHilliness=Flat;coastSides=1..6
VEE_ContaminatedReservoir,contaminated reservoir,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VanillaExplorationExpanded.TileMutatorWorker_ContaminatedReservoir,Lake,
VEE_ContaminatedRiver,contaminated river,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VanillaExplorationExpanded.TileMutatorWorker_ContaminatedRiver,River,maxHilliness=Flat
VEE_CoralReef,coral reef,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VanillaExplorationExpanded.TileMutatorWorker_CoralReef,Coast,maxHilliness=Flat;coastSides=3..5
VEE_CraterLake,crater lake,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VanillaExplorationExpanded.TileMutatorWorker_CraterLake,Mountain,maxHilliness=Flat;coastSides=0..0
VEE_DeadlifeVents,deadlife geysers,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VEF.Maps.TileMutatorWorker_GenericPrefabSpawner,,
VEE_DeepOrePoor,deep ore poor,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,,VEE_DeepOres,
VEE_DeepSnow,solid snow,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VanillaExplorationExpanded.TileMutatorWorker_DeepSnow,,
VEE_DetachedIceberg,detached iceberg,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VanillaExplorationExpanded.TileMutatorWorker_DetachedIceberg,Coast,coastSides=3..5
VEE_DistressedWildlife,distressed wildlife,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,,VEE_AnimalWildness,
VEE_DomesticatedEscapees,domesticated escapees,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VEF.Maps.TileMutatorWorker_ExtraAnimal,,
VEE_DriftwoodShore,driftwood,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,RimWorld.TileMutatorWorker_Coast,Coast,coastSides=1..6
VEE_EasyToTraverse,easy to traverse,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,,VEE_Traversability,
VEE_FeralKinship,feral kinship,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,,VEE_AnimalWildness,
VEE_FertileRains,fertile rains,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,,,
VEE_FirewoodTrees,firewood trees,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VanillaExplorationExpanded.TileMutatorWorker_RemoveSpecificFlora,,
VEE_FloodPlains,flood plains,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VanillaExplorationExpanded.TileMutatorWorker_LargeRiverBanks,River,maxHilliness=Flat
VEE_FrequentAuroras,frequent auroras,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,,,
VEE_GeomagneticStorm,geomagnetic storm,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,,,
VEE_GlacialMoraine,glacial moraine,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VanillaExplorationExpanded.TileMutatorWorker_GlacialMoraine,Mountain,maxHilliness=Flat;coastSides=0..0
VEE_HardToTraverse,hard to traverse,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,,VEE_Traversability,
VEE_IceAndFire,ice and fire,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VanillaExplorationExpanded.TileMutatorWorker_IceAndFire,Coast,coastSides=3..5
VEE_IceSpires,ice spires,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VanillaExplorationExpanded.TileMutatorWorker_IceSpires,Mountain,maxHilliness=Flat;coastSides=0..0
VEE_JadeChunks,jadeite chunks,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,,,
VEE_JadeiteMountains,jadeite mountains,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VanillaExplorationExpanded.TileMutatorWorker_JadeiteMountains,,
VEE_LargeRiverBanks,large river banks,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VanillaExplorationExpanded.TileMutatorWorker_LargeRiverBanks_NoInherit,,
VEE_LargerRegion,larger region,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,,VEE_MapSize,
VEE_LaurelForest,laurel forest,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VanillaExplorationExpanded.TileMutatorWorker_RemoveSpecificFlora,,
VEE_LessSolarPower,reduced solar exposure,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,,VEE_Solar,
VEE_LittoralDunes,littoral dunes,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VanillaExplorationExpanded.TileMutatorWorker_LittoralDunes,Coast,coastSides=1..5
VEE_LoneIsland,detached coastal island,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VanillaExplorationExpanded.TileMutatorWorker_LoneIsland,Coast,coastSides=3..5
VEE_LoneIslandWithLake,central lake island,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VanillaExplorationExpanded.TileMutatorWorker_LoneIslandWithLake,Coast,coastSides=3..5
VEE_LoneIslandWithMountain,resurgent island,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VanillaExplorationExpanded.TileMutatorWorker_LoneIslandWithMountain,Coast,maxHilliness=Flat;coastSides=3..5
VEE_LushLavaFields,lush lava fields,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,RimWorld.TileMutatorWorker_Patches,,
VEE_MangroveTerrain,coastal wetland,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,RimWorld.TileMutatorWorker_Wetland,,maxHilliness=Flat;coastSides=1..6
VEE_MangroveTrees,mangrove trees,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VEF.Maps.TileMutatorWorker_PlantsWithCommonality,"WildPlants,VEE_MangroveAndNoTrees",coastSides=1..6
VEE_MarineSanctuary,marine sanctuary,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VanillaExplorationExpanded.TileMutatorWorker_MarineSanctuary,VEE_AnimalDensities,coastSides=1..5
VEE_MechanoidShipChunks,mechanoid chunks,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,,,
VEE_Megafauna,abundant megafauna,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VEF.Maps.TileMutatorWorker_ExtraAnimal,,
VEE_Microfauna,microfauna,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,,VEE_AnimalSize,
VEE_MigratoryHerds,migratory herds,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,,,
VEE_MineableComponentSpacer,advanced component deposits,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VanillaExplorationExpanded.TileMutatorWorker_AdvancedComponentDeposits,,
VEE_Moor,moor,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,RimWorld.TileMutatorWorker_Patches,,
VEE_MoorFlora,moor plants,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VanillaExplorationExpanded.TileMutatorWorker_RemoveSpecificFlora,,
VEE_MoreSolarPower,increased solar exposure,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,,VEE_Solar,
