guy762.mm.kotorcore + guy762.KotORDroids equipment classes EXCLUDED from
DROIDWORKS_MODULE_ABSORB_1 (packet B2). Every entry references a framework
class Droidworks does not ship (MVCF/SelfHediffVerb/AthenaFramework/
VanillaApparelExpanded/guy762_Ionization), is a non-apparel VFX byproduct
(Filth), or belongs to a weapon/shield/gadget mount family out of this
item's scope -- see gen_droidworks_modules.py's module docstring for the
full rationale per family. Regenerate by rerunning gen_droidworks_modules.py.

defName	source file	reason
guy762_DroidShield_defII	kotordroids/Apparel_KotORDroidShields.xml	references SelfHediffVerb. (framework Droidworks does not ship)
guy762_DroidShield_ion	kotordroids/Apparel_KotORDroidShields.xml	references SelfHediffVerb. (framework Droidworks does not ship)
guy762_DroidShield_baragwin	kotordroids/Apparel_KotORDroidShields.xml	references SelfHediffVerb. (framework Droidworks does not ship)
guy762_DroidShield_renewable	kotordroids/Apparel_KotORDroidShields.xml	references SelfHediffVerb. (framework Droidworks does not ship)
guy762_DroidShield_arkanian	kotordroids/Apparel_KotORDroidShields_exotic.xml	references SelfHediffVerb. (framework Droidworks does not ship)
guy762_DroidShield_echani	kotordroids/Apparel_KotORDroidShields_exotic.xml	references SelfHediffVerb. (framework Droidworks does not ship)
guy762_DroidShield_verpine	kotordroids/Apparel_KotORDroidShields_exotic.xml	references SelfHediffVerb. (framework Droidworks does not ship)
guy762_HvyShield_basic	kotordroids/Apparel_KotORHvyShields.xml	references SelfHediffVerb. (framework Droidworks does not ship)
guy762_HvyShield_thermal	kotordroids/Apparel_KotORHvyShields.xml	references SelfHediffVerb. (framework Droidworks does not ship)
guy762_HvyShield_env	kotordroids/Apparel_KotORHvyShields.xml	references SelfHediffVerb. (framework Droidworks does not ship)
guy762_HvyShield_debris	kotordroids/Apparel_KotORHvyShields.xml	references SelfHediffVerb. (framework Droidworks does not ship)
guy762_HvyShield_echani	kotordroids/Apparel_KotORHvyShields.xml	references SelfHediffVerb. (framework Droidworks does not ship)
guy762_HvyShield_baragwin	kotordroids/Apparel_KotORHvyShields.xml	references SelfHediffVerb. (framework Droidworks does not ship)
guy762_HvyShield_ion	kotordroids/Apparel_KotORHvyShields.xml	references SelfHediffVerb. (framework Droidworks does not ship)
guy762_HvyShield_deflector	kotordroids/Apparel_KotORHvyShields.xml	references SelfHediffVerb. (framework Droidworks does not ship)
guy762_HvyShield_balmorran	kotordroids/Apparel_KotORHvyShields.xml	references SelfHediffVerb. (framework Droidworks does not ship)
guy762_HvyShield_starforge	kotordroids/Apparel_KotORHvyShields.xml	references SelfHediffVerb. (framework Droidworks does not ship)
