tile,action,def
7917,mutator,AncientSmokeVent
7918,mutator,AB_AncientGreyPallVent
8234,mutator,AB_AncientGreyPallVent
8236,mutator,AB_AncientBloodRainVent
8236,mutator,FoggyMutator
8276,mutator,AB_AncientFreezingVent
8277,mutator,AncientToxVent
8277,mutator,FoggyMutator
8281,mutator,AB_AncientDeathPallVent
8281,mutator,FoggyMutator
8459,mutator,AB_AncientGreyPallVent
8461,mutator,AB_AncientFreezingVent
8609,mutator,AB_AncientFreezingVent
8609,mutator,UndergroundCave
8611,mutator,AB_AncientFreezingVent
8675,mutator,AB_AncientFreezingVent
9426,mutator,FoggyMutator
9537,mutator,AB_AncientGreyPallVent
9540,mutator,AB_AncientFreezingVent
9545,mutator,AB_AncientBloodRainVent
9549,mutator,AncientToxVent
9554,mutator,AB_AncientFreezingVent
9555,mutator,AB_AncientBloodRainVent
9687,mutator,AB_AncientBloodRainVent
9691,mutator,AB_AncientFreezingVent
9756,mutator,AB_AncientBloodRainVent
9756,mutator,FoggyMutator
10074,mutator,AB_AncientGreyPallVent
10089,mutator,AB_AncientFreezingVent
10092,mutator,AB_AncientDeathPallVent
10093,mutator,FoggyMutator
10097,mutator,AncientSmokeVent
10173,mutator,AncientSmokeVent
10175,mutator,AncientSmokeVent
10175,mutator,UndergroundCave
10176,mutator,AB_AncientFreezingVent
10179,mutator,AB_AncientGreyPallVent
10183,mutator,AncientSmokeVent
10196,mutator,AncientSmokeVent
10408,mutator,AB_AncientDeathPallVent
10418,mutator,AncientToxVent
10422,mutator,AB_AncientFreezingVent
10550,mutator,AB_AncientFreezingVent
10553,mutator,AB_AncientGreyPallVent
10553,mutator,UndergroundCave
10611,mutator,AB_AncientFreezingVent
10628,mutator,AncientSmokeVent
11710,mutator,AB_AncientFreezingVent
11712,mutator,AB_AncientFreezingVent
11713,mutator,AB_AncientBloodRainVent
12766,mutator,AB_AncientFreezingVent
12768,mutator,AB_AncientGreyPallVent
12769,mutator,AB_AncientGreyPallVent
12772,mutator,AB_AncientDeathPallVent
12774,mutator,AB_AncientDeathPallVent
12779,mutator,AB_AncientBloodRainVent
12780,mutator,AB_AncientGreyPallVent
12782,mutator,AncientSmokeVent
12784,mutator,AB_AncientFreezingVent
12786,mutator,AB_AncientFreezingVent
12788,mutator,AncientSmokeVent
12791,mutator,AB_AncientFreezingVent
12792,mutator,AB_AncientDeathPallVent
12798,mutator,AncientToxVent
12798,mutator,FoggyMutator
12924,mutator,AB_AncientBloodRainVent
12925,mutator,AncientSmokeVent
13311,mutator,AncientSmokeVent
13313,mutator,AB_AncientDeathPallVent
13313,mutator,FoggyMutator
13329,mutator,AB_AncientFreezingVent
13330,mutator,AB_AncientDeathPallVent
13331,mutator,AncientToxVent
13336,mutator,AB_AncientBloodRainVent
13338,mutator,AB_AncientGreyPallVent
13412,mutator,AB_AncientDeathPallVent
13416,mutator,AB_AncientDeathPallVent
13418,mutator,AB_AncientGreyPallVent
13419,mutator,AncientToxVent
13420,mutator,AncientSmokeVent
13422,mutator,AB_AncientDeathPallVent
13431,mutator,AB_AncientBloodRainVent
13434,mutator,AB_AncientBloodRainVent
13435,mutator,AB_AncientDeathPallVent
13444,mutator,AB_AncientBloodRainVent
13445,mutator,AncientSmokeVent
13848,mutator,FoggyMutator
13849,mutator,UndergroundCave
13875,mutator,AB_AncientBloodRainVent
13875,mutator,FoggyMutator
13877,mutator,AB_AncientFreezingVent
14957,mutator,UndergroundCave
14958,mutator,AB_AncientFreezingVent
14959,mutator,AB_AncientBloodRainVent
15401,mutator,AB_AncientDeathPallVent
15666,mutator,AncientToxVent
15666,mutator,UndergroundCave
15900,mutator,AB_AncientFreezingVent
15901,mutator,AB_AncientGreyPallVent
15920,mutator,AncientToxVent
15920,mutator,UndergroundCave
16050,mutator,AncientSmokeVent
16066,mutator,AncientSmokeVent
16067,mutator,AncientSmokeVent
17818,mutator,AB_AncientBloodRainVent
17818,mutator,UndergroundCave
17819,mutator,AncientSmokeVent
18061,mutator,AB_AncientDeathPallVent
18065,mutator,AB_AncientDeathPallVent
18066,mutator,FoggyMutator
18067,mutator,AB_AncientDeathPallVent
18080,mutator,AncientToxVent
18082,mutator,AncientSmokeVent
18082,mutator,FoggyMutator
18086,mutator,AB_AncientDeathPallVent
19064,mutator,AB_AncientBloodRainVent
19070,mutator,AB_AncientBloodRainVent
19136,mutator,AB_AncientFreezingVent
19144,mutator,AB_AncientBloodRainVent
19149,mutator,AB_AncientFreezingVent
19154,mutator,AncientSmokeVent
19154,mutator,UndergroundCave
19155,mutator,FoggyMutator
19160,mutator,AB_AncientFreezingVent
19163,mutator,AncientToxVent
19163,mutator,FoggyMutator
19164,mutator,AB_AncientBloodRainVent
19165,mutator,AB_AncientBloodRainVent
19169,mutator,UndergroundCave
19210,mutator,FoggyMutator
19218,mutator,AB_AncientGreyPallVent
19910,mutator,AB_AncientBloodRainVent
19915,mutator,AB_AncientBloodRainVent
19922,mutator,AB_AncientBloodRainVent
19924,mutator,AncientSmokeVent
19926,mutator,AB_AncientFreezingVent
19927,mutator,AB_AncientFreezingVent
19930,mutator,AncientSmokeVent
20043,mutator,AncientToxVent
20047,mutator,AB_AncientGreyPallVent
20051,mutator,AB_AncientFreezingVent
20054,mutator,AB_AncientFreezingVent
20068,mutator,AB_AncientFreezingVent
20069,mutator,AB_AncientDeathPallVent
20070,mutator,AB_AncientBloodRainVent
20070,mutator,UndergroundCave
20163,mutator,AB_AncientFreezingVent
20165,mutator,AncientToxVent
20165,mutator,FoggyMutator
20193,mutator,AB_AncientGreyPallVent
20193,mutator,UndergroundCave
20198,mutator,AncientSmokeVent
20203,mutator,AB_AncientFreezingVent
20203,mutator,FoggyMutator
20433,mutator,AncientToxVent
20434,mutator,AB_AncientBloodRainVent
20446,mutator,FoggyMutator
20592,mutator,AB_AncientDeathPallVent
20593,mutator,AB_AncientFreezingVent
20600,mutator,AncientSmokeVent
20601,mutator,AncientSmokeVent
20602,mutator,AB_AncientBloodRainVent
21726,mutator,AB_AncientDeathPallVent
21726,mutator,FoggyMutator
