river_id,tile,lat,lon,arc,elev_m,biome,water,river_flow,region,degree,dist_from_mouth,is_mouth,is_endpoint,is_branch
R01,17291,-12.535,-49.8772,51.02,926.0,BiomeCypreJungle,0,21.0,Scald Spine,1,32,False,True,False
R01,21307,-26.6208,-32.6608,41.18,205.0,BiomeCypreJungle,0,11106.0,Hollow Verge,2,13,False,False,False
R01,21309,-21.3035,-32.3441,38.08,827.0,BiomeCypreJungle,0,49.0,Dune Sea,2,13,False,False,False
R01,21311,-19.9722,-31.4759,36.72,1282.0,AB_PyroclasticConflagration,0,51.0,Dune Sea,1,13,False,True,False
R01,21313,-19.9774,-34.5864,39.31,1178.0,LavaField,0,53.0,Dune Sea,1,19,False,True,False
R01,21316,-22.6235,-31.6396,38.2,418.0,BiomeCypreJungle,0,52.0,Dune Sea,2,12,False,False,False
R01,21317,-22.598,-30.0625,36.96,316.0,BiomeCypreJungle,0,68.0,Dune Sea,2,11,False,False,False
R01,21318,-23.9112,-29.3217,37.15,156.0,BiomeCypreJungle,0,104.0,Dune Sea,3,10,False,False,True
R01,21320,-19.9505,-36.1534,40.63,1000.0,BiomeCypreJungle,0,56.0,Scald Spine,2,19,False,False,False
R01,21321,-21.2396,-37.0868,41.97,598.0,BiomeCypreJungle,0,64.0,Scald Spine,2,18,False,False,False
R01,21322,-18.5737,-38.3492,41.98,1426.0,AB_OcularForest,0,26.0,Scald Spine,1,21,False,True,False
R01,21323,-18.624,-36.7893,40.63,1650.0,AB_OcularForest,0,35.0,Scald Spine,2,21,False,False,False
R01,21324,-19.8375,-39.3062,43.29,910.0,BiomeCypreJungle,0,36.0,Scald Spine,2,20,False,False,False
R01,21325,-21.177,-38.6807,43.29,571.0,BiomeCypreJungle,0,82.0,Scald Spine,3,19,False,False,True
R01,21327,-23.7954,-39.0035,44.68,464.0,BiomeCypreJungle,0,11009.0,Hollow Verge,2,19,False,False,False
R01,21330,-22.3423,-41.27,45.96,394.0,BiomeCypreJungle,0,41.0,Hollow Verge,2,21,False,False,False
R01,21331,-23.5815,-42.2787,47.31,325.0,BiomeCypreJungle,0,10984.0,Hollow Verge,2,21,False,False,False
R01,21406,-23.4414,-43.92,48.63,325.0,BiomeCypreJungle,0,11026.0,Hollow Verge,2,22,False,False,False
R01,21408,-22.0779,-44.5151,48.64,328.0,BiomeCypreJungle,0,11029.0,Hollow Verge,3,23,False,False,True
R01,21434,-20.5559,-46.6998,50.05,389.0,BiomeCypreJungle,0,95.0,Hollow Verge,3,25,False,False,True
R01,21435,-20.3702,-48.3061,51.42,864.0,BiomeCypreJungle,0,70.0,Dew Horn,2,26,False,False,False
R01,21436,-19.0204,-48.8346,51.52,479.0,BiomeCypreJungle,0,54.0,Dew Horn,2,27,False,False,False
R01,21438,-18.0318,-46.2018,48.84,564.0,BiomeCypreJungle,0,39.0,Scald Spine,3,27,False,False,True
R01,21439,-19.3724,-45.6551,48.75,534.0,BiomeCypreJungle,0,19.0,Scald Spine,2,25,False,False,False
R02,85,11.9905,-41.2835,42.69,857.0,BiomeCypreJungle,0,3830.0,Scald Spine,2,11,False,False,False
R02,354,27.4125,-43.7231,50.09,12.0,AB_MiasmicMangrove,0,4847.0,Fever Wood,2,17,False,False,False
R02,891,31.0255,-47.0109,54.25,13.0,AB_MiasmicMangrove,0,24717.0,Fever Wood,2,18,False,False,False
R02,1310,7.9015,-43.2536,43.83,-350.0,RUT_TheScald,1,0.0,Scald,1,0,True,True,False
R02,1313,15.6498,-44.1726,46.32,146.0,BiomeCypreJungle,0,3837.0,Dew Belt,2,8,False,False,False
R02,1669,-7.3196,-51.9095,52.27,886.0,BiomeCypreJungle,0,19.0,Scald Spine,1,32,False,True,False
R02,1850,23.6995,-40.6395,45.99,6.0,AB_MiasmicMangrove,0,6537.0,Fever Wood,2,20,False,False,False
R02,1854,19.9039,-37.727,41.95,2.0,AB_MiasmicMangrove,0,7127.0,Fever Wood,2,23,False,False,False
R02,2484,1.0282,-56.8669,56.87,432.0,BiomeCypreJungle,0,195.0,Dew Belt,2,25,False,False,False
R02,2485,0.0,-60.0321,60.03,647.0,AridShrubland,0,120.0,Dew Horn,2,28,False,False,False
R02,2931,10.7125,-39.001,40.22,-350.0,RUT_TheScald,1,0.0,Scald,1,13,False,True,False
R02,2932,10.5287,-43.4591,44.47,875.0,BiomeCypreJungle,0,2793.0,Scald Spine,2,2,False,False,False
R02,2933,13.1125,-43.7643,45.3,397.0,BiomeCypreJungle,0,27.0,Scald Spine,1,9,False,True,False
R02,3288,-9.7625,-52.3521,52.99,797.0,BiomeCypreJungle,0,25.0,Scald Spine,2,33,False,False,False
R02,3290,8.2651,-54.2477,54.68,204.0,BiomeCypreJungle,0,19786.0,Dew Belt,2,18,False,False,False
R02,3294,12.1896,-52.8573,53.83,1.0,BiomeCypreJungle,0,19669.0,Dew Belt,2,15,False,False,False
R02,3450,29.8509,-60.4921,64.71,-350.0,RUT_TwilightSea,1,0.0,Twilight Sea,1,27,False,True,False
R02,3451,31.6904,-58.2819,63.43,1.0,AB_MiasmicMangrove,0,19938.0,Dew Horn,2,25,False,False,False
R02,3468,21.729,-47.763,51.36,1.0,AB_MiasmicMangrove,0,24914.0,Fever Wood,2,11,False,False,False
R02,4357,-2.0308,-63.1103,63.13,1169.0,AridShrubland,0,45.0,Dew Horn,2,31,False,False,False
R02,4365,-2.244,-55.1906,55.22,530.0,BiomeCypreJungle,0,50.0,Scald Spine,2,27,False,False,False
R02,4366,-5.8858,-53.7732,53.99,669.0,BiomeCypreJungle,0,52.0,Scald Spine,2,30,False,False,False
R02,4377,2.244,-55.1906,55.22,269.0,BiomeCypreJungle,0,42.0,Dew Belt,2,23,False,False,False
R02,4378,4.4794,-55.5681,55.69,292.0,BiomeCypreJungle,0,33.0,Dew Belt,2,21,False,False,False
R02,4379,5.8858,-53.7732,53.99,243.0,BiomeCypreJungle,0,19806.0,Dew Belt,2,20,False,False,False
R02,4380,2.4464,-51.2857,51.33,321.0,BiomeCypreJungle,0,19814.0,Scald Spine,2,23,False,False,False
R02,4526,32.7748,-52.9434,59.56,1.0,AB_MiasmicMangrove,0,21864.0,Dew Horn,2,22,False,False,False
R02,4546,25.8524,-46.0367,51.34,6.0,BiomeCypreJungle,0,23354.0,Dew Horn,2,14,False,False,False
R02,7052,14.1791,-46.2826,47.93,95.0,BiomeCypreJungle,0,2807.0,Dew Belt,2,5,False,False,False
R02,7055,13.6873,-50.873,52.18,1.0,BiomeCypreJungle,0,19595.0,Dew Belt,2,13,False,False,False
R02,7057,17.6801,-49.3495,51.63,1.0,BiomeCypreJungle,0,19363.0,Dew Belt,2,10,False,False,False
R02,7344,0.8895,-57.9935,58.0,477.0,ZBiome_DesertOasis,0,170.0,Dew Belt,2,26,False,False,False
R02,7346,0.5497,-59.0392,59.04,538.0,AridShrubland,0,145.0,Dew Belt,2,27,False,False,False
R02,7791,12.029,-39.8189,41.3,892.0,BiomeCypreJungle,0,3830.0,Scald Spine,2,12,False,False,False
R02,7794,13.2296,-42.2141,43.86,584.0,BiomeCypreJungle,0,3838.0,Scald Spine,2,10,False,False,False
R02,8150,9.5905,-53.7826,54.37,144.0,BiomeCypreJungle,0,19748.0,Dew Belt,2,17,False,False,False
R02,8151,10.8989,-53.3192,54.09,46.0,BiomeCypreJungle,0,19709.0,Dew Belt,2,16,False,False,False
R02,9224,-4.6511,-54.2249,54.36,651.0,BiomeCypreJungle,0,51.0,Scald Spine,2,29,False,False,False
R02,9225,-3.437,-54.6973,54.77,605.0,BiomeCypreJungle,0,50.0,Scald Spine,2,28,False,False,False
R02,9240,3.6395,-52.0487,52.14,333.0,BiomeCypreJungle,0,19810.0,Scald Spine,2,22,False,False,False
R02,9241,4.7862,-52.8776,53.03,311.0,BiomeCypreJungle,0,19809.0,Scald Spine,2,21,False,False,False
R02,9404,27.2387,-45.4257,51.39,9.0,AB_MiasmicMangrove,0,22712.0,Fever Wood,2,15,False,False,False
R02,9405,28.6292,-44.7947,51.47,13.0,AB_MiasmicMangrove,0,26176.0,Fever Wood,3,16,False,False,True
R02,9407,26.1848,-42.674,48.72,11.0,AB_MiasmicMangrove,0,5493.0,Fever Wood,2,18,False,False,False
R02,11912,15.3657,-47.2734,49.14,1.0,BiomeCypreJungle,0,6647.0,Dew Belt,3,6,False,False,True
R02,11913,16.533,-48.2955,50.37,1.0,BiomeCypreJungle,0,6642.0,Dew Belt,2,7,False,False,False
R02,11916,15.0175,-50.3613,51.96,1.0,BiomeCypreJungle,0,19554.0,Dew Belt,2,12,False,False,False
R02,11917,16.3486,-49.8536,51.78,1.0,BiomeCypreJungle,0,19496.0,Dew Belt,2,11,False,False,False
R02,11924,14.7099,-35.6233,38.17,47.0,BiomeCypreJungle,0,7139.0,Dune Sea,2,27,False,False,False
R02,11926,16.0142,-36.5007,39.41,1.0,BiomeCypreJungle,0,7141.0,Dune Sea,2,26,False,False,False
R02,11927,17.3369,-35.8686,39.33,3.0,BiomeCypreJungle,0,7138.0,Dune Sea,2,25,False,False,False
R02,12453,-0.6408,-61.0321,61.03,806.0,AridShrubland,0,95.0,Dew Horn,2,29,False,False,False
R02,12454,-1.3236,-62.0596,62.07,915.0,AridShrubland,0,70.0,Dew Horn,2,30,False,False,False
R02,12464,-1.097,-55.681,55.69,455.0,BiomeCypreJungle,0,49.0,Dew Belt,2,26,False,False,False
R02,12465,0.0,-56.2216,56.22,369.0,BiomeCypreJungle,0,47.0,Dew Belt,2,25,False,False,False
R02,12469,1.097,-55.681,55.69,309.0,BiomeCypreJungle,0,220.0,Dew Belt,3,24,False,False,True
R02,12480,3.2902,-56.0035,56.07,272.0,BiomeCypreJungle,0,37.0,Dew Belt,2,22,False,False,False
R02,12624,33.0837,-51.1424,58.29,4.0,BiomeCypreJungle,0,22550.0,Dew Horn,2,21,False,False,False
R02,12625,33.3656,-49.3329,57.03,10.0,AB_MiasmicMangrove,0,23258.0,Fever Wood,2,20,False,False,False
R02,12626,32.2031,-48.1581,55.64,12.0,AB_MiasmicMangrove,0,23982.0,Fever Wood,2,19,False,False,False
R02,12630,29.8339,-45.8902,52.86,14.0,AB_MiasmicMangrove,0,25452.0,Fever Wood,2,17,False,False,False
R02,15141,9.1691,-44.0991,44.85,927.0,BiomeCypreJungle,0,2793.0,Scald Spine,2,1,False,False,False
R02,15152,11.7678,-44.3648,45.58,609.0,BiomeCypreJungle,0,2805.0,Scald Spine,2,3,False,False,False
R02,15153,12.9818,-45.3101,46.74,269.0,BiomeCypreJungle,0,2808.0,Scald Spine,2,4,False,False,False
R02,15158,14.4427,-43.1872,45.08,300.0,BiomeCypreJungle,0,3840.0,Scald Spine,2,9,False,False,False
R02,15160,14.3185,-44.7363,46.51,171.0,BiomeCypreJungle,0,25.0,Scald Spine,2,8,False,False,False
R02,15161,15.5142,-45.7267,47.73,93.0,BiomeCypreJungle,0,3853.0,Dew Belt,3,7,False,False,True
R02,15173,13.3818,-36.268,38.34,97.0,BiomeCypreJungle,0,7139.0,Dune Sea,2,28,False,False,False
R02,15175,12.0595,-35.4354,37.18,-350.0,RUT_TheScald,1,0.0,Scald,1,29,False,True,False
R02,17237,-2.7675,-64.1741,64.21,1473.0,AB_OcularForest,0,20.0,Dew Horn,1,32,False,True,False
R02,17293,-9.9063,-50.911,51.6,966.0,BiomeCypreJungle,0,18.0,Scald Spine,1,34,False,True,False
R02,17294,-8.6092,-51.4138,51.93,961.0,BiomeCypreJungle,0,18.0,Scald Spine,1,33,False,True,False
R02,17295,-8.4598,-52.8332,53.3,787.0,BiomeCypreJungle,0,37.0,Scald Spine,3,32,False,False,True
R02,17296,-7.1615,-53.3087,53.64,741.0,BiomeCypreJungle,0,47.0,Scald Spine,3,31,False,False,True
R02,17304,5.7,-55.1392,55.34,248.0,BiomeCypreJungle,0,29.0,Dew Belt,2,20,False,False,False
R02,17305,6.9621,-54.7017,55.0,204.0,BiomeCypreJungle,0,19825.0,Dew Belt,3,19,False,False,True
R02,17329,12.368,-51.3755,52.43,1.0,BiomeCypreJungle,0,19636.0,Dew Belt,2,14,False,False,False
R02,17342,0.0,-49.8481,49.85,-350.0,RUT_TheScald,1,0.0,Scald,1,25,False,True,False
R02,17343,1.2319,-50.5539,50.56,1.0,BiomeCypreJungle,0,19814.0,Scald Spine,2,24,False,False,False
R02,18243,32.0777,-56.5145,62.13,1.0,AB_MiasmicMangrove,0,20558.0,Dew Horn,2,24,False,False,False
R02,18247,32.4393,-54.7347,60.84,1.0,AB_MiasmicMangrove,0,21200.0,Dew Horn,2,23,False,False,False
R02,18267,30.2624,-58.7613,63.39,1.0,AB_MiasmicMangrove,0,19341.0,Dew Horn,2,26,False,False,False
R02,18368,19.0204,-48.8346,51.52,1.0,AB_MiasmicMangrove,0,25582.0,Fever Wood,3,9,False,False,True
R02,18369,20.3702,-48.306,51.42,1.0,AB_MiasmicMangrove,0,25288.0,Fever Wood,2,10,False,False,False
R02,18371,17.8655,-47.7761,50.24,1.0,BiomeCypreJungle,0,6582.0,Dew Belt,2,8,False,False,False
R02,18375,23.0962,-47.2043,51.32,2.0,BiomeCypreJungle,0,24463.0,Dew Horn,2,12,False,False,False
R02,18376,24.4711,-46.6292,51.32,5.0,BiomeCypreJungle,0,23941.0,Dew Horn,2,13,False,False,False
R02,18383,24.9469,-41.6466,47.35,9.0,AB_MiasmicMangrove,0,6065.0,Fever Wood,2,19,False,False,False
R02,18385,22.4426,-39.6512,44.63,5.0,AB_MiasmicMangrove,0,6882.0,Fever Wood,2,21,False,False,False
R02,18404,21.177,-38.6807,43.29,3.0,AB_MiasmicMangrove,0,7078.0,Fever Wood,2,22,False,False,False
R02,18408,18.624,-36.7893,40.63,2.0,AB_MiasmicMangrove,0,7133.0,Fever Wood,2,24,False,False,False
R03,675,18.6529,0.0,18.65,312.0,Scarlands,0,12297.0,Scorch,2,22,False,False,False
R03,2020,11.7964,-18.7411,22.03,403.0,BiomeCypreJungle,0,28936.0,Dune Sea,2,2,False,False,False
R03,2835,12.3674,-2.3498,12.59,637.0,AB_MechanoidIntrusion,0,19230.0,Rust Cathedral,2,17,False,False,False
R03,3639,9.0666,-14.0396,16.66,608.0,BiomeCypreJungle,0,28351.0,Anvil,2,6,False,False,False
R03,6470,16.1639,0.0,16.16,322.0,Scarlands,0,15063.0,Scorch,2,20,False,False,False
R03,6474,21.0566,0.0,21.06,265.0,BiomeCypreJungle,0,9601.0,Dune Sea,2,24,False,False,False
R03,6486,6.3743,-9.3567,11.31,615.0,BiomeCypreJungle,0,26954.0,Anvil,2,10,False,False,False
R03,8500,10.3805,-14.8335,18.04,607.0,BiomeCypreJungle,0,28602.0,Anvil,2,5,False,False,False
R03,8501,11.6961,-15.6328,19.44,606.0,BiomeCypreJungle,0,28864.0,Anvil,2,4,False,False,False
R03,9128,25.6938,-1.5359,25.74,97.0,AB_MiasmicMangrove,0,3128.0,Dune Sea,2,29,False,False,False
R03,9129,26.7938,-0.7585,26.8,101.0,AB_MiasmicMangrove,0,1873.0,Dune Sea,2,30,False,False,False
R03,9130,24.5325,-0.777,24.54,131.0,AB_MiasmicMangrove,0,4402.0,Dune Sea,2,28,False,False,False
R03,9131,24.5325,0.777,24.54,118.0,AB_MiasmicMangrove,0,5676.0,Dune Sea,2,27,False,False,False
R03,11330,17.4208,0.7885,17.44,298.0,Scarlands,0,13674.0,Scorch,2,21,False,False,False
R03,11334,19.8674,-0.7916,19.88,606.0,BiomeCypreJungle,0,10940.0,Anvil,2,23,False,False,False
R03,11342,8.8552,-7.8103,11.79,628.0,AB_MechanoidIntrusion,0,25286.0,Rust Cathedral,2,12,False,False,False
R03,11343,8.7947,-6.2491,10.77,633.0,AB_MechanoidIntrusion,0,24255.0,Rust Cathedral,2,13,False,False,False
R03,11347,7.6205,-8.5838,11.46,622.0,BiomeCypreJungle,0,26193.0,Anvil,2,11,False,False,False
R03,12366,27.9298,-1.4983,27.97,71.0,AB_MiasmicMangrove,0,634.0,Dune Sea,1,31,False,True,False
R03,14564,11.1423,-3.1296,11.57,639.0,AB_MechanoidIntrusion,0,20573.0,Rust Cathedral,2,16,False,False,False
R03,14568,10.007,-5.4723,11.39,637.0,AB_MechanoidIntrusion,0,23103.0,Rust Cathedral,2,14,False,False,False
R03,14569,9.9354,-3.9086,10.67,639.0,AB_MechanoidIntrusion,0,21873.0,Rust Cathedral,2,15,False,False,False
R03,14570,13.6216,-1.5688,13.71,632.0,AB_MechanoidIntrusion,0,17857.0,Rust Cathedral,2,18,False,False,False
R03,14571,14.8926,-0.7857,14.91,626.0,AB_MechanoidIntrusion,0,16461.0,Rust Cathedral,2,19,False,False,False
R03,16726,22.2305,0.7927,22.24,254.0,BiomeCypreJungle,0,8277.0,Dune Sea,2,25,False,False,False
R03,16727,23.4071,1.5724,23.46,200.0,BiomeCypreJungle,0,6968.0,Dune Sea,2,26,False,False,False
R03,19361,11.8794,-21.8335,24.72,-350.0,RUT_TheScald,1,0.0,Scald,1,0,True,True,False
R03,19389,7.7561,-13.25,15.32,608.0,BiomeCypreJungle,0,28094.0,Anvil,2,7,False,False,False
R03,19390,6.4131,-10.9114,12.64,611.0,BiomeCypreJungle,0,27504.0,Anvil,2,9,False,False,False
R03,19391,6.4495,-12.4642,14.01,607.0,BiomeCypreJungle,0,27818.0,Anvil,2,8,False,False,False
R03,19400,11.7483,-17.1887,20.72,352.0,BiomeCypreJungle,0,28930.0,Dune Sea,2,3,False,False,False
R03,19404,11.8401,-20.2896,23.37,424.0,BiomeCypreJungle,0,28936.0,Dune Sea,2,1,False,False,False
R04,2793,-20.9293,-21.4204,29.6,112.0,BiomeCypreJungle,0,50.0,Dune Sea,2,1,False,False,False
R04,6225,-18.3575,-21.3006,27.84,269.0,BiomeCypreJungle,0,47.0,Dune Sea,2,2,False,False,False
R04,6229,-17.15,-23.5833,28.87,733.0,BiomeCypreJungle,0,59.0,Dune Sea,1,4,False,True,False
R04,11085,-17.0355,-20.4614,26.39,461.0,BiomeCypreJungle,0,48.0,Dune Sea,1,3,False,True,False
R04,11088,-15.8228,-22.7465,27.47,991.0,BiomeCypreJungle,0,45.0,Dune Sea,1,4,False,True,False
R04,11089,-17.0957,-22.0244,27.62,485.0,BiomeCypreJungle,0,50.0,Dune Sea,2,3,False,False,False
