tile,n0,n1,n2,n3,n4,n5
87,40486,40489,40490,40488,40487,40485
88,40492,40495,40496,40494,40493,40491
89,40501,40502,40500,40499,40498,40497
90,40505,40506,40507,40508,40504,40503
91,40512,40511,40513,40514,40510,40509
92,40518,40520,40519,40521,40522,40517
93,40525,40526,40527,40528,40524,40523
94,40530,40534,40533,40532,40531,40529
95,40536,40540,40539,40538,40537,40535
96,40544,40543,40545,40546,40542,40541
97,40551,40552,40550,40549,40548,40547
98,40554,40558,40557,40556,40555,40553
99,40560,40564,40563,40562,40561,40559
100,40570,40569,40571,40572,40568,40567
101,40577,40578,40576,40575,40574,40573
102,40580,40582,40581,40583,40584,40579
103,40586,40590,40589,40588,40587,40585
104,40594,40593,40595,40596,40592,40591
105,40599,40600,40601,40602,40598,40597
106,40606,40605,40607,40608,40604,40603
107,40613,40614,40612,40611,40610,40609
108,40616,40618,40617,40619,40620,40615
109,40624,40623,40625,40626,40622,40621
110,40628,40630,40629,40631,40632,40627
111,40634,40638,40637,40636,40635,40633
112,40640,40644,40643,40642,40641,40639
113,40648,40647,40649,40650,40646,40645
114,40655,40656,40654,40653,40652,40651
115,40658,40660,40659,40661,40662,40657
116,40665,40666,40667,40668,40664,40663
117,40670,40672,40671,40673,40674,40669
118,40680,40679,40678,40677,40676,40675
119,40684,40683,40685,40686,40682,40681
120,40691,40692,40690,40689,40688,40687
121,40694,40696,40695,40697,40698,40693
122,40700,40704,40703,40702,40701,40699
123,40708,40707,40709,40710,40706,40705
124,40713,40714,40715,40716,40712,40711
125,40720,40719,40721,40722,40718,40717
126,40727,40728,40726,40725,40724,40723
127,40730,40732,40731,40733,40734,40729
128,40736,40740,40739,40738,40737,40735
129,40742,40744,40743,40745,40746,40741
130,40752,40751,40750,40749,40748,40747
131,40756,40755,40757,40758,40754,40753
132,40763,40764,40762,40761,40760,40759
133,40766,40768,40767,40769,40770,40765
134,40773,40774,40775,40776,40772,40771
135,40778,40782,40781,40780,40779,40777
136,40784,40788,40787,40786,40785,40783
137,40790,40794,40793,40792,40791,40789
138,40800,40799,40798,40797,40796,40795
139,40802,40804,40803,40805,40806,40801
140,40808,40812,40811,40810,40809,40807
141,40814,40818,40817,40816,40815,40813
142,40820,40824,40823,40822,40821,40819
143,40828,40827,40829,40830,40826,40825
144,40835,40836,40834,40833,40832,40831
145,40838,40840,40839,40841,40842,40837
146,40845,40846,40847,40848,40844,40843
147,40850,40852,40851,40853,40854,40849
148,40860,40859,40858,40857,40856,40855
149,40864,40863,40865,40866,40862,40861
150,40871,40872,40870,40869,40868,40867
151,40874,40878,40877,40876,40875,40873
152,40880,40884,40883,40882,40881,40879
153,40887,40888,40889,40890,40886,40885
154,40896,40895,40894,40893,40892,40891
155,40898,40900,40899,40901,40902,40897
156,40905,40906,40907,40908,40904,40903
157,40910,40914,40913,40912,40911,40909
158,40916,40920,40919,40918,40917,40915
159,40922,40926,40925,40924,40923,40921
160,40932,40931,40930,40929,40928,40927
161,40934,40935,40936,40937,40938,40933
162,40941,40942,40943,40944,40940,40939
163,40947,40948,40949,40950,40946,40945
164,40952,40955,40956,40954,40953,40951
165,40961,40962,40960,40959,40958,40957
166,40964,40965,40966,40967,40968,40963
167,40971,40972,40973,40974,40970,40969
168,40976,40979,40980,40978,40977,40975
169,40982,40985,40986,40984,40983,40981
170,40989,40990,40991,40992,40988,40987
171,40997,40998,40996,40995,40994,40993
172,41000,41001,41002,41003,41004,40999
173,41007,41008,41009,41010,41006,41005
174,41012,41015,41016,41014,41013,41011
175,41018,41021,41022,41020,41019,41017
176,41025,41026,41027,41028,41024,41023
177,41033,41034,41032,41031,41030,41029
178,41036,41037,41038,41039,41040,41035
179,41043,41044,41045,41046,41042,41041
180,41048,41049,41050,41051,41052,41047
181,41057,41058,41056,41055,41054,41053
182,41061,41062,41063,41064,41060,41059
183,41069,41070,41068,41067,41066,41065
184,41072,41073,41074,41075,41076,41071
185,41078,41081,41082,41080,41079,41077
186,41085,41086,41087,41088,41084,41083
187,41091,41092,41093,41094,41090,41089
188,41097,41098,41099,41100,41096,41095
189,41105,41106,41104,41103,41102,41101
190,41108,41109,41110,41111,41112,41107
191,41114,41117,41118,41116,41115,41113
192,41120,41123,41124,41122,41121,41119
193,41126,41129,41130,41128,41127,41125
194,41132,41135,41136,41134,41133,41131
195,41141,41142,41140,41139,41138,41137
196,41144,41145,41146,41147,41148,41143
197,41151,41152,41153,41154,41150,41149
198,41157,41158,41159,41160,41156,41155
199,41162,41163,41164,41165,41166,41161
200,41169,41170,41171,41172,41168,41167
201,41174,41177,41178,41176,41175,41173
202,41180,41183,41184,41182,41181,41179
203,41187,41188,41189,41190,41186,41185
204,41195,41196,41194,41193,41192,41191
205,41198,41201,41202,41200,41199,41197
206,41204,41205,41206,41207,41208,41203
207,41211,41212,41213,41214,41210,41209
208,41219,41220,41218,41217,41216,41215
209,41222,41223,41224,41225,41226,41221
210,41228,41231,41232,41230,41229,41227
211,41235,41236,41237,41238,41234,41233
212,41241,41242,41243,41244,41240,41239
213,41247,41248,41249,41250,41246,41245
214,41255,41256,41254,41253,41252,41251
215,41258,41259,41260,41261,41262,41257
216,41264,41265,41266,41267,41268,41263
217,41270,41273,41274,41272,41271,41269
218,41276,41279,41280,41278,41277,41275
219,41282,41285,41286,41284,41283,41281
220,41289,41290,41291,41292,41288,41287
221,41297,41298,41296,41295,41294,41293
222,41300,41301,41302,41303,41304,41299
223,41307,41308,41309,41310,41306,41305
224,41312,41313,41314,41315,41316,41311
225,41321,41322,41320,41319,41318,41317
226,41325,41326,41327,41328,41324,41323
227,41333,41334,41332,41331,41330,41329
228,41336,41337,41338,41339,41340,41335
229,41342,41345,41346,41344,41343,41341
230,41349,41350,41351,41352,41348,41347
231,41355,41356,41357,41358,41354,41353
232,41361,41362,41363,41364,41360,41359
233,41369,41370,41368,41367,41366,41365
234,41372,41373,41374,41375,41376,41371
235,41378,41381,41382,41380,41379,41377
236,41384,41385,41386,41387,41388,41383
237,41393,41394,41392,41391,41390,41389
238,41397,41398,41399,41400,41396,41395
239,41405,41406,41404,41403,41402,41401
240,41408,41409,41410,41411,41412,41407
241,41415,41416,41417,41418,41414,41413
242,41420,41423,41424,41422,41421,41419
243,41426,41429,41430,41428,41427,41425
244,41432,41435,41436,41434,41433,41431
245,41441,41442,41440,41439,41438,41437
246,41444,41445,41446,41447,41448,41443
247,41450,41453,41454,41452,41451,41449
248,41456,41459,41460,41458,41457,41455
249,41462,41465,41466,41464,41463,41461
250,41469,41470,41471,41472,41468,41467
251,41477,41478,41476,41475,41474,41473
252,41480,41481,41482,41483,41484,41479
253,41487,41488,41489,41490,41486,41485
254,41492,41493,41494,41495,41496,41491
255,41501,41502,41500,41499,41498,41497
256,41505,41506,41507,41508,41504,41503
257,41513,41514,41512,41511,41510,41509
258,41520,41521,41522,41523,41524,41519
259,41527,41528,41529,41530,41526,41525
260,41532,41535,41536,41534,41533,41531
261,41538,41541,41542,41540,41539,41537
262,41544,41547,41548,41546,41545,41543
263,41553,41554,41552,41551,41550,41549
264,41558,41559,41560,41561,41557,41556
265,41563,41567,41566,41565,41564,41562
266,41571,41570,41572,41573,41569,41568
267,41578,41579,41577,41576,41575,41574
268,41581,41585,41584,41583,41582,41580
269,41587,41591,41590,41589,41588,41586
270,41595,41594,41596,41597,41593,41592
271,41602,41603,41601,41600,41599,41598
272,41608,41607,41609,41610,41606,41605
273,41613,41614,41615,41616,41612,41611
274,41620,41619,41621,41622,41618,41617
275,41627,41628,41626,41625,41624,41623
276,41630,41632,41631,41633,41634,41629
277,41638,41637,41639,41640,41636,41635
278,41643,41644,41645,41646,41642,41641
279,41650,41649,41651,41652,41648,41647
280,41654,41656,41655,41657,41658,41653
281,41661,41662,41663,41664,41660,41659
282,41668,41667,41669,41670,41666,41665
283,41673,41674,41675,41676,41672,41671
284,41680,41679,41681,41682,41678,41677
285,41687,41688,41686,41685,41684,41683
286,41690,41692,41691,41693,41694,41689
287,41696,41700,41699,41698,41697,41695
288,41704,41703,41705,41706,41702,41701
289,41709,41710,41711,41712,41708,41707
290,41716,41715,41717,41718,41714,41713
291,41723,41724,41722,41721,41720,41719
292,41726,41728,41727,41729,41730,41725
293,41732,41736,41735,41734,41733,41731
294,41740,41739,41741,41742,41738,41737
295,41745,41746,41747,41748,41744,41743
296,41752,41751,41753,41754,41750,41749
297,41759,41760,41758,41757,41756,41755
298,41762,41764,41763,41765,41766,41761
299,41769,41770,41771,41772,41768,41767
300,41774,41778,41777,41776,41775,41773
301,41780,41784,41783,41782,41781,41779
302,41788,41787,41789,41790,41786,41785
303,41795,41796,41794,41793,41792,41791
304,41798,41800,41799,41801,41802,41797
305,41804,41808,41807,41806,41805,41803
306,41810,41814,41813,41812,41811,41809
307,41816,41820,41819,41818,41817,41815
308,41824,41823,41825,41826,41822,41821
309,41831,41832,41830,41829,41828,41827
310,41836,41835,41837,41838,41834,41833
311,41841,41842,41843,41844,41840,41839
312,41846,41850,41849,41848,41847,41845
313,41855,41856,41854,41853,41852,41851
314,41860,41859,41861,41862,41858,41857
315,41867,41868,41866,41865,41864,41863
316,41870,41874,41873,41872,41871,41869
317,41879,41880,41878,41877,41876,41875
318,41882,41884,41883,41885,41886,41881
319,41889,41890,41891,41892,41888,41887
320,41894,41896,41895,41897,41898,41893
321,41904,41903,41902,41901,41900,41899
322,41908,41907,41909,41910,41906,41905
323,41915,41916,41914,41913,41912,41911
324,41918,41920,41919,41921,41922,41917
325,41924,41928,41927,41926,41925,41923
326,41932,41931,41933,41934,41930,41929
327,41937,41938,41939,41940,41936,41935
328,41944,41943,41945,41946,41942,41941
329,41951,41952,41950,41949,41948,41947
330,41954,41956,41955,41957,41958,41953
331,41961,41962,41963,41964,41960,41959
332,41966,41970,41969,41968,41967,41965
333,41972,41976,41975,41974,41973,41971
334,41978,41982,41981,41980,41979,41977
335,41988,41987,41986,41985,41984,41983
336,41990,41992,41991,41993,41994,41989
337,41997,41998,41999,42000,41996,41995
338,42002,42006,42005,42004,42003,42001
339,42008,42012,42011,42010,42009,42007
340,42014,42018,42017,42016,42015,42013
341,42024,42023,42022,42021,42020,42019
342,42026,42028,42027,42029,42030,42025
343,42032,42036,42035,42034,42033,42031
344,42038,42040,42039,42041,42042,42037
345,42048,42047,42046,42045,42044,42043
346,42052,42051,42053,42054,42050,42049
347,42059,42060,42058,42057,42056,42055
348,42062,42064,42063,42065,42066,42061
349,42068,42072,42071,42070,42069,42067
350,42074,42078,42077,42076,42075,42073
351,42080,42084,42083,42082,42081,42079
352,42088,42087,42089,42090,42086,42085
353,42095,42096,42094,42093,42092,42091
354,42098,42100,42099,42101,42102,42097
355,42105,42106,42107,42108,42104,42103
356,42110,42112,42111,42113,42114,42109
357,42120,42119,42118,42117,42116,42115
358,42124,42123,42125,42126,42122,42121
359,42131,42132,42130,42129,42128,42127
360,42134,42136,42135,42137,42138,42133
361,42140,42144,42143,42142,42141,42139
362,42148,42147,42149,42150,42146,42145
363,42154,42153,42155,42156,42152,42151
364,42161,42162,42160,42159,42158,42157
365,42164,42166,42165,42167,42168,42163
366,42171,42172,42173,42174,42170,42169
367,42176,42180,42179,42178,42177,42175
368,42182,42186,42185,42184,42183,42181
369,42188,42192,42191,42190,42189,42187
370,42198,42197,42196,42195,42194,42193
371,42200,42202,42201,42203,42204,42199
372,42207,42208,42209,42210,42206,42205
373,42212,42216,42215,42214,42213,42211
374,42218,42222,42221,42220,42219,42217
375,42224,42228,42227,42226,42225,42223
376,42234,42233,42232,42231,42230,42229
377,42236,42238,42237,42239,42240,42235
378,42242,42246,42245,42244,42243,42241
379,42248,42250,42249,42251,42252,42247
380,42258,42257,42256,42255,42254,42253
381,42262,42261,42263,42264,42260,42259
382,42269,42270,42268,42267,42266,42265
383,42272,42274,42273,42275,42276,42271
384,42278,42282,42281,42280,42279,42277
385,42284,42288,42287,42286,42285,42283
386,42290,42294,42293,42292,42291,42289
387,42298,42297,42299,42300,42296,42295
388,42305,42306,42304,42303,42302,42301
389,42308,42310,42309,42311,42312,42307
390,42315,42316,42317,42318,42314,42313
391,42320,42322,42321,42323,42324,42319
392,42328,42327,42326,42325,-1,-1
393,42332,42331,42333,42334,42330,42329
394,42339,42340,42338,42337,42336,42335
395,42342,42344,42343,42345,42346,42341
396,42348,42352,42351,42350,42349,42347
397,42356,42355,42357,42358,42354,42353
398,42361,42362,42363,42364,42360,42359
399,42368,42367,42369,42370,42366,42365
400,42375,42376,42374,42373,42372,42371
401,42378,42380,42379,42381,42382,42377
402,42385,42386,42387,42388,42384,42383
403,42390,42392,42391,42393,42394,42389
404,42400,42399,42398,42397,42396,42395
405,42404,42403,42405,42406,42402,42401
406,42411,42412,42410,42409,42408,42407
407,42414,42416,42415,42417,42418,42413
408,42420,42424,42423,42422,42421,42419
409,42426,42430,42429,42428,42427,42425
410,42432,42436,42435,42434,42433,42431
411,42438,42442,42441,42440,42439,42437
412,42448,42447,42446,42445,42444,42443
413,42450,42452,42451,42453,42454,42449
414,42456,42460,42459,42458,42457,42455
415,42462,42464,42463,42465,42466,42461
416,42472,42471,42470,42469,42468,42467
417,42476,42475,42477,42478,42474,42473
418,42483,42484,42482,42481,42480,42479
419,42486,42488,42487,42489,42490,42485
420,42492,42496,42495,42494,42493,42491
421,42498,42502,42501,42500,42499,42497
422,42504,42506,42505,42507,42508,42503
423,42511,42512,42513,42514,42510,42509
424,42516,42518,42517,42519,42520,42515
425,42526,42525,42524,42523,42522,42521
426,42530,42529,42531,42532,42528,42527
427,42537,42538,42536,42535,42534,42533
428,42540,42542,42541,42543,42544,42539
429,42547,42548,42549,42550,42546,42545
430,42552,42556,42555,42554,42553,42551
431,42558,42562,42561,42560,42559,42557
432,42564,42568,42567,42566,42565,42563
433,42574,42573,42572,42571,42570,42569
434,42576,42578,42577,42579,42580,42575
435,42582,42586,42585,42584,42583,42581
436,42588,42590,42589,42591,42592,42587
437,42598,42597,42596,42595,42594,42593
438,42602,42601,42603,42604,42600,42599
439,42609,42610,42608,42607,42606,42605
440,42612,42614,42613,42615,42616,42611
441,42618,42622,42621,42620,42619,42617
442,42626,42625,42627,42628,42624,42623
443,42631,42632,42633,42634,42630,42629
444,42638,42637,42639,42640,42636,42635
445,42645,42646,42644,42643,42642,42641
446,42648,42650,42649,42651,42652,42647
447,42654,42658,42657,42656,42655,42653
448,42660,42662,42661,42663,42664,42659
449,42670,42669,42668,42667,42666,42665
450,42674,42673,42675,42676,42672,42671
451,42681,42682,42680,42679,42678,42677
452,42684,42686,42685,42687,42688,42683
453,42690,42694,42693,42692,42691,42689
454,42696,42700,42699,42698,42697,42695
455,42702,42706,42705,42704,42703,42701
456,42710,42709,42711,42712,42708,42707
457,42714,42716,42715,42717,42718,42713
458,42721,42722,42723,42724,42720,42719
459,42729,42730,42728,42727,42726,42725
460,42732,42734,42733,42735,42736,42731
461,42739,42740,42741,42742,42738,42737
462,42744,42748,42747,42746,42745,42743
463,42752,42751,42750,42749,-1,-1
464,42754,42758,42757,42756,42755,42753
465,42764,42763,42762,42761,42760,42759
466,42766,42768,42767,42769,42770,42765
467,42773,42774,42775,42776,42772,42771
468,42778,42782,42781,42780,42779,42777
469,42784,42788,42787,42786,42785,42783
470,42790,42794,42793,42792,42791,42789
471,42800,42799,42798,42797,42796,42795
472,42802,42804,42803,42805,42806,42801
473,42809,42810,42811,42812,42808,42807
474,42814,42818,42817,42816,42815,42813
475,42820,42824,42823,42822,42821,42819
476,42826,42830,42829,42828,42827,42825
477,42836,42835,42834,42833,42832,42831
478,42838,42840,42839,42841,42842,42837
479,42845,42846,42847,42848,42844,42843
480,42850,42854,42853,42852,42851,42849
481,42856,42860,42859,42858,42857,42855
482,42862,42866,42865,42864,42863,42861
483,42872,42871,42870,42869,42868,42867
484,42874,42876,42875,42877,42878,42873
485,42880,42884,42883,42882,42881,42879
486,42886,42890,42889,42888,42887,42885
487,42892,42896,42895,42894,42893,42891
488,42898,42902,42901,42900,42899,42897
489,42908,42907,42906,42905,42904,42903
490,42910,42911,42912,42913,42914,42909
491,42917,42918,42919,42920,42916,42915
492,42923,42924,42925,42926,42922,42921
493,42928,42931,42932,42930,42929,42927
494,42937,42938,42936,42935,42934,42933
495,42940,42941,42942,42943,42944,42939
496,42947,42948,42949,42950,42946,42945
497,42952,42955,42956,42954,42953,42951
498,42958,42961,42962,42960,42959,42957
499,42965,42966,42967,42968,42964,42963
500,42973,42974,42972,42971,42970,42969
501,42976,42977,42978,42979,42980,42975
502,42983,42984,42985,42986,42982,42981
503,42988,42991,42992,42990,42989,42987
504,42994,42997,42998,42996,42995,42993
505,43001,43002,43003,43004,43000,42999
506,43009,43010,43008,43007,43006,43005
507,43012,43013,43014,43015,43016,43011
508,43019,43020,43021,43022,43018,43017
509,43024,43025,43026,43027,43028,43023
510,43033,43034,43032,43031,43030,43029
511,43037,43038,43039,43040,43036,43035
512,43045,43046,43044,43043,43042,43041
513,43048,43049,43050,43051,43052,43047
514,43054,43057,43058,43056,43055,43053
515,43061,43062,43063,43064,43060,43059
516,43067,43068,43069,43070,43066,43065
517,43073,43074,43075,43076,43072,43071
518,43081,43082,43080,43079,43078,43077
519,43084,43085,43086,43087,43088,43083
520,43090,43093,43094,43092,43091,43089
521,43096,43099,43100,43098,43097,43095
522,43102,43105,43106,43104,43103,43101
523,43108,43111,43112,43110,43109,43107
524,43117,43118,43116,43115,43114,43113
525,43120,43121,43122,43123,43124,43119
526,43127,43128,43129,43130,43126,43125
527,43132,43133,43134,43135,43136,43131
528,43139,43140,43141,43142,43138,43137
529,43144,43147,43148,43146,43145,43143
530,43150,43153,43154,43152,43151,43149
531,43157,43158,43159,43160,43156,43155
532,43165,43166,43164,43163,43162,43161
533,43168,43169,43170,43171,43172,43167
534,43175,43176,43177,43178,43174,43173
535,43180,43181,43182,43183,43184,43179
536,43186,43189,43190,43188,43187,43185
537,43193,43194,43195,43196,43192,43191
538,43199,43200,43201,43202,43198,43197
539,43205,43206,43207,43208,43204,43203
540,43213,43214,43212,43211,43210,43209
541,43216,43217,43218,43219,43220,43215
542,43222,43225,43226,43224,43223,43221
543,43228,43231,43232,43230,43229,43227
544,43234,43237,43238,43236,43235,43233
545,43241,43242,43243,43244,43240,43239
546,43249,43250,43248,43247,43246,43245
547,43252,43253,43254,43255,43256,43251
548,43259,43260,43261,43262,43258,43257
549,43264,43265,43266,43267,43268,43263
550,43273,43274,43272,43271,43270,43269
551,43277,43278,43279,43280,43276,43275
552,43285,43286,43284,43283,43282,43281
553,43288,43289,43290,43291,43292,43287
554,43294,43297,43298,43296,43295,43293
555,43301,43302,43303,43304,43300,43299
556,43307,43308,43309,43310,43306,43305
557,43313,43314,43315,43316,43312,43311
558,43321,43322,43320,43319,43318,43317
559,43324,43325,43326,43327,43328,43323
560,43330,43333,43334,43332,43331,43329
561,43336,43337,43338,43339,43340,43335
562,43345,43346,43344,43343,43342,43341
563,43349,43350,43351,43352,43348,43347
564,43357,43358,43356,43355,43354,43353
565,43360,43361,43362,43363,43364,43359
566,43367,43368,43369,43370,43366,43365
567,43372,43375,43376,43374,43373,43371
568,43378,43381,43382,43380,43379,43377
569,43384,43387,43388,43386,43385,43383
570,43393,43394,43392,43391,43390,43389
571,43396,43397,43398,43399,43400,43395
572,43402,43405,43406,43404,43403,43401
573,43408,43411,43412,43410,43409,43407
574,43414,43417,43418,43416,43415,43413
575,43421,43422,43423,43424,43420,43419
576,43429,43430,43428,43427,43426,43425
577,43432,43433,43434,43435,43436,43431
578,43439,43440,43441,43442,43438,43437
579,43444,43445,43446,43447,43448,43443
580,43453,43454,43452,43451,43450,43449
581,43457,43458,43459,43460,43456,43455
582,43465,43466,43464,43463,43462,43461
583,43468,43469,43470,43471,43472,43467
584,43475,43476,43477,43478,43474,43473
585,43480,43483,43484,43482,43481,43479
586,43486,43489,43490,43488,43487,43485
587,43492,43495,43496,43494,43493,43491
588,43501,43502,43500,43499,43498,43497
589,43504,43505,43506,43507,43508,43503
590,43511,43512,43513,43514,43510,43509
591,43516,43519,43520,43518,43517,43515
592,43522,43525,43526,43524,43523,43521
593,43529,43530,43531,43532,43528,43527
594,43537,43538,43536,43535,43534,43533
595,43540,43541,43542,43543,43544,43539
596,43547,43546,43545,-1,-1,-1
597,43549,43552,43553,43551,43550,43548
598,43555,43558,43559,43557,43556,43554
599,43562,43563,43564,43565,43561,43560
600,43570,43571,43569,43568,43567,43566
601,43573,43574,43575,43576,43577,43572
602,43580,43581,43582,43583,43579,43578
603,43586,43587,43588,43589,43585,43584
604,43592,43593,43594,43595,43591,43590
605,43598,43599,43600,43601,43597,43596
606,43606,43607,43605,43604,43603,43602
607,43609,43610,43611,43612,43613,43608
608,43615,43618,43619,43617,43616,43614
609,43622,43623,43624,43625,43621,43620
610,43628,43629,43630,43631,43627,43626
611,43634,43635,43636,43637,43633,43632
612,43640,43639,43638,-1,-1,-1
613,43642,43643,43644,43645,43646,43641
614,43649,43650,43651,43652,43648,43647
615,43655,43656,43657,43658,43654,43653
616,43661,43662,43663,43664,43660,43659
617,43667,43668,43669,43670,43666,43665
618,43675,43676,43674,43673,43672,43671
619,43678,43679,43680,43681,43682,43677
620,43684,43687,43688,43686,43685,43683
621,43691,43692,43693,43694,43690,43689
622,43697,43698,43699,43700,43696,43695
623,43703,43704,43705,43706,43702,43701
624,43711,43712,43710,43709,43708,43707
625,43714,43715,43716,43717,43718,43713
626,43720,43723,43724,43722,43721,43719
627,43727,43728,43729,43730,43726,43725
628,43733,43734,43735,43736,43732,43731
629,43739,43740,43741,43742,43738,43737
630,43747,43748,43746,43745,43744,43743
631,43750,43751,43752,43753,43754,43749
632,43757,43758,43759,43760,43756,43755
633,43762,43765,43766,43764,43763,43761
634,43768,43771,43772,43770,43769,43767
635,43775,43776,43777,43778,43774,43773
636,43783,43784,43782,43781,43780,43779
637,43786,43787,43788,43789,43790,43785
638,43792,43795,43796,43794,43793,43791
639,43798,43801,43802,43800,43799,43797
640,43804,43807,43808,43806,43805,43803
641,43811,43812,43813,43814,43810,43809
642,43819,43820,43818,43817,43816,43815
643,43830,43831,43829,43828,43827,43826
644,43837,43838,43839,43840,43836,43835
645,43844,43845,43846,43847,43848,43843
646,43851,43852,43853,43854,43850,43849
647,43856,43857,43858,43859,43860,43855
648,43865,43866,43864,43863,43862,43861
649,43869,43870,43871,43872,43868,43867
650,43877,43878,43876,43875,43874,43873
651,43880,43881,43882,43883,43884,43879
652,43886,43889,43890,43888,43887,43885
653,43893,43894,43895,43896,43892,43891
654,43899,43900,43901,43902,43898,43897
655,43905,43906,43907,43908,43904,43903
656,43913,43914,43912,43911,43910,43909
657,43916,43917,43918,43919,43920,43915
658,43923,43924,43925,43926,43922,43921
659,43928,43931,43932,43930,43929,43927
660,43934,43937,43938,43936,43935,43933
661,43940,43943,43944,43942,43941,43939
662,43949,43950,43948,43947,43946,43945
663,43952,43953,43954,43955,43956,43951
664,43959,43960,43961,43962,43958,43957
665,43964,43967,43968,43966,43965,43963
666,43970,43973,43974,43972,43971,43969
667,43976,43979,43980,43978,43977,43975
668,43985,43986,43984,43983,43982,43981
669,43988,43989,43990,43991,43992,43987
670,43994,43997,43998,43996,43995,43993
671,44000,44001,44002,44003,44004,43999
672,44009,44010,44008,44007,44006,44005
673,44013,44014,44015,44016,44012,44011
674,44021,44022,44020,44019,44018,44017
675,44024,44025,44026,44027,44028,44023
676,44030,44033,44034,44032,44031,44029
677,44036,44039,44040,44038,44037,44035
678,44042,44045,44046,44044,44043,44041
679,44049,44050,44051,44052,44048,44047
680,44057,44058,44056,44055,44054,44053
681,44060,44061,44062,44063,44064,44059
682,44067,44068,44069,44070,44066,44065
683,44072,44073,44074,44075,44076,44071
684,44081,44082,44080,44079,44078,44077
685,44085,44086,44087,44088,44084,44083
686,44093,44094,44092,44091,44090,44089
687,44096,44097,44098,44099,44100,44095
688,44102,44105,44106,44104,44103,44101
689,44109,44110,44111,44112,44108,44107
690,44115,44116,44117,44118,44114,44113
691,44121,44122,44123,44124,44120,44119
692,44129,44130,44128,44127,44126,44125
693,44132,44133,44134,44135,44136,44131
694,44139,44140,44141,44142,44138,44137
695,44144,44147,44148,44146,44145,44143
696,44150,44153,44154,44152,44151,44149
