tile,lat,long,biome,elevation,temperature,rainfall,hilliness,swampiness,pollution
26,-20.9026,90,RUT_AridShrubland,1,12.9,0,SmallHills,0,0
27,0,159.0948,RUT_Umbra,340,-67.2,0,LargeHills,0.2706,0
28,-35.2596,-135,RUT_TheRot,1122,-34.7,0,LargeHills,0.3804,0
29,-35.2596,-45,RUT_ExtremeDesert,432,40.6,0,Flat,0,0
30,0,20.9052,RUT_Scarlands,375,58.1,0,SmallHills,0,0.4647
31,20.9026,90,RUT_Desert,1,14,0,Flat,0,0
32,40.1893,-105.7836,RUT_Sump,1,-1.7,0,Flat,0,0
33,58.5465,-130.1254,RUT_ForsakenCrags,28,-8.7,0,SmallHills,0,0
34,78.95,-90,RUT_PoisonForest,13,13.9,0,Flat,0.3882,0
35,58.5465,-49.8746,RUT_Desert,38,31.2,0,Flat,0,0
36,40.1893,-74.2164,RUT_Wasteland,1,22.5,0,SmallHills,0,0
37,78.95,90,RUT_Slime,117,12.8,0,Flat,0,0
38,58.5465,49.8746,RUT_Desert,335,27.6,0,Flat,0,0
39,58.5465,130.1254,RUT_TheRot,536,-14.4,0,Mountainous,0.3608,0
40,40.1893,74.2164,RUT_Desert,702,20.3,0,SmallHills,0,0
41,40.1893,105.7836,RUT_ForsakenCrags,305,-0.4,0,SmallHills,0,0
42,-40.1893,-105.7836,RUT_TheRot,1016,-6.6,0,Flat,0.4196,0
43,-78.95,-90,RUT_Desert,180,13.6,0,SmallHills,0,0.1479
44,-58.5465,-49.8746,RUT_Desert,45,31.6,0,Flat,0,0
45,-58.5465,-130.1254,RUT_ForsakenCrags,1431,-17.2,0,Flat,0,0
46,-40.1893,-74.2164,RUT_TheRot,385,20.9,0,SmallHills,0.298,0
47,-40.1893,105.7836,RUT_Wasteland,31,0.6,0,Flat,0,0
48,-58.5465,130.1254,RUT_Wasteland,1,-11.1,0,Flat,0,0
49,-78.95,90,RUT_PoisonForest,148,13.2,0,SmallHills,0,0
50,-58.5465,49.8746,RUT_Desert,261,27.4,0,SmallHills,0,0
51,-40.1893,74.2164,RUT_Desert,43,25.3,0,Flat,0,0
52,-11.0156,180,RUT_Umbra,882,-77.1,0,LargeHills,0,0
53,-47.3048,162.1548,RUT_BlueDesert,1005,-39.2,0,Mountainous,0,0
54,-47.3048,-162.1548,RUT_NightsideIce,826,-37.8,0,LargeHills,0,0
55,-23.5048,158.4933,RUT_Umbra,952,-62.5,0,LargeHills,0,0
56,-23.5048,-158.4933,RUT_Umbra,460,-58.2,0,SmallHills,0,0
57,47.3048,-162.1548,RUT_TheRot,1046,-39.7,0,Flat,0.2392,0
58,47.3048,162.1548,RUT_TheRot,1454,-41.6,0,LargeHills,0.5098,0
59,23.5048,158.4933,RUT_Umbra,62,-55.5,0,LargeHills,0.251,0.8357
60,23.5048,-158.4933,RUT_Umbra,1329,-65.1,0,SmallHills,0,0
61,11.0156,180,RUT_Umbra,419,-74,0,LargeHills,0,0
62,-23.5048,-21.5067,RUT_Webwork,161,55.1,0,Flat,0.3686,0
63,-47.3048,17.8452,RUT_ExtremeDesert,439,42.1,0,LargeHills,0,0
64,-23.5048,21.5067,RUT_ExtremeDesert,186,57.5,0,Flat,0,0
65,-47.3048,-17.8452,RUT_ExtremeDesert,324,42.4,0,SmallHills,0,0
66,-11.0156,0,RUT_Scarlands,324,65.8,0,SmallHills,0,0.3
67,47.3048,-17.8452,RUT_ExtremeDesert,463,41.7,0,SmallHills,0,0.8918
68,23.5048,-21.5067,RUT_ExtremeDesert,22,57.9,0,Flat,0,0
69,11.0156,0,RUT_RustCathedral,637,63.6,0,Flat,0,1
70,47.3048,17.8452,RUT_ExtremeDesert,1,43.7,0,Flat,0,0
71,23.5048,21.5067,RUT_ExtremeDesert,111,55.8,0,Flat,0,0
72,11.9905,41.2835,RUT_ExtremeDesert,316,48.5,0,LargeHills,0,0
73,-19.6422,64.9429,RUT_Desert,101,31.4,0,SmallHills,0,0
74,0,78.9831,RUT_GreySea,-350,22.8,0,Flat,0,0
75,-11.9905,41.2835,RUT_ExtremeDesert,376,46.1,0,SmallHills,0,0
76,19.6422,64.9429,RUT_ExtremeDesert,426,31.6,0,Mountainous,0,0
77,19.6422,115.0571,RUT_ForsakenCrags,576,-16.6,0,Mountainous,0,0
78,-11.9905,138.7165,RUT_Umbra,626,-44.7,0,SmallHills,0,0
79,-19.6422,115.0571,RUT_Wasteland,21,-13.8,0,Flat,0,0
80,11.9905,138.7165,RUT_Umbra,638,-46.8,0,Flat,0,0
81,0,101.0169,RUT_AridShrubland,1,0.8,0,Flat,0,0
82,19.6422,-64.9429,RUT_TwilightSea,-350,32.8,0,Flat,0,0
83,0,-78.9831,RUT_WeepingStones,357,22.8,0,LargeHills,0.251,0
84,-19.6422,-64.9429,RUT_AridShrubland,930,28.3,105,Mountainous,0,0
85,11.9905,-41.2835,RUT_Contagion,857,42.5,1390,Impassable,0.5882,0
86,-11.9905,-41.2835,RUT_TheScald,-350,41.8,0,Flat,0,0
87,11.9905,-138.7165,RUT_NightsideIce,582,-44.6,0,Flat,0,0.8082
88,19.6422,-115.0571,RUT_PoisonForest,110,-6.9,0,Mountainous,0,0
89,-11.9905,-138.7165,RUT_NightsideIce,835,-48.1,0,SmallHills,0,0
90,0,-101.0169,RUT_AridShrubland,1,0.8,0,LargeHills,0,0
91,-19.6422,-115.0571,RUT_TheRot,733,-19.3,0,Flat,0.3882,1
92,47.0282,-90,RUT_Wasteland,1,12.8,0,Flat,0,0
93,53.3733,-108.1197,RUT_Wasteland,8,0.8,0,Flat,0,0
94,66.5171,-106.7312,RUT_Wasteland,34,7.3,0,Flat,0,0
95,66.5171,-73.2688,RUT_Desert,28,20.1,0,Flat,0,0
96,53.3733,-71.8803,RUT_Wasteland,25,23.3,0,Flat,0,0
97,66.5171,73.2688,RUT_Desert,146,18,0,SmallHills,0,0
98,53.3733,71.8803,RUT_Desert,547,19.5,0,SmallHills,0,0
99,66.5171,106.7312,RUT_TheRot,373,4,0,Flat,0.298,0
100,47.0282,90,RUT_TheRot,461,12.4,0,SmallHills,0.3608,0
101,53.3733,108.1197,RUT_TheRot,439,-0.9,0,SmallHills,0.502,0
102,-53.3733,-108.1197,RUT_Wasteland,1129,-5,0,SmallHills,0,0
103,-66.5171,-73.2688,RUT_Desert,175,18.3,0,Flat,0,0
104,-53.3733,-71.8803,RUT_ExtremeDesert,7,22.2,0,Flat,0,0
105,-66.5171,-106.7312,RUT_Wasteland,954,1.3,0,SmallHills,0,0
106,-47.0282,-90,RUT_PoisonForest,292,11.5,0,SmallHills,0,0
107,-47.0282,90,RUT_CrackedLands,810,15,0,Flat,0,0
108,-53.3733,108.1197,RUT_Wasteland,1,0.3,0,Flat,0,0
109,-66.5171,106.7312,RUT_Wasteland,110,4.6,0,Flat,0,0
110,-66.5171,73.2688,RUT_CrackedLands,124,17.9,0,LargeHills,0,0
111,-53.3733,71.8803,RUT_Desert,16,22.8,0,Flat,0,0
112,-22.4178,172.8755,RUT_Umbra,1200,-66.3,0,Mountainous,0,0
113,-42.9599,-180,RUT_Umbra,340,-43,0,Flat,0,0
114,-34.5307,-166.9858,RUT_Umbra,320,-51.4,0,Flat,0,0
115,-34.5307,166.9858,RUT_Umbra,264,-52.6,0,Flat,0,0
116,-22.4178,-172.8755,RUT_Umbra,643,-65.2,0,Flat,0,0
117,42.9599,180,RUT_NightsideIce,1350,-48.9,0,LargeHills,0,0
118,34.5307,166.9858,RUT_Umbra,1161,-55.3,0,Mountainous,0.3608,0
119,22.4178,172.8755,RUT_Umbra,270,-62.4,0,LargeHills,0.3098,0
120,34.5307,-166.9858,RUT_Umbra,1413,-58.6,0,SmallHills,0,0
121,22.4178,-172.8755,RUT_Umbra,1298,-71.4,0,SmallHills,0,0
122,-34.5307,-13.0142,ZBiome_Grasslands,120,51.8,0,SmallHills,0.051,0
123,-34.5307,13.0142,RUT_ExtremeDesert,26,54.3,0,Flat,0,0
124,-22.4178,7.1245,RUT_ExtremeDesert,123,61.4,0,Flat,0,0
125,-42.9599,0,RUT_ExtremeDesert,48,48.1,0,Flat,0,0.8259
126,-22.4178,-7.1245,RUT_Greentide,157,59.2,14,LargeHills,0,0
127,34.5307,-13.0142,RUT_ExtremeDesert,116,54.1,0,SmallHills,0,0
128,22.4178,-7.1245,RUT_ExtremeDesert,735,55.9,6,LargeHills,0,0
129,22.4178,7.1245,ZBiome_Grasslands,285,57.9,0,Flat,0.0392,0.25
130,42.9599,0,RUT_ExtremeDesert,1,48,0,Flat,0,0.9007
131,34.5307,13.0142,RUT_ExtremeDesert,4,53.1,0,Flat,0,0
132,0,47.0345,RUT_ExtremeDesert,449,44.2,5,Mountainous,0,0
133,-6.5828,67.4227,RUT_AridShrubland,234,29.4,0,Mountainous,0,0
134,6.5828,67.4227,RUT_CrackedLands,418,29.2,171,Mountainous,0,0
135,-10.6897,54.7658,RUT_ExtremeDesert,783,35.9,0,Mountainous,0,0
136,10.6897,54.7658,RUT_ExtremeDesert,15,41.2,0,Flat,0,0
137,6.5828,112.5773,RUT_ForsakenCrags,964,-17.5,0,Mountainous,0,0
138,0,132.9655,RUT_BlueDesert,635,-40.1,0,SmallHills,0,0
139,-10.6897,125.2342,RUT_NightsideIce,392,-28.7,0,Flat,0,0
140,10.6897,125.2342,RUT_BlueDesert,433,-30.5,0,SmallHills,0,0.8241
141,-6.5828,112.5773,RUT_ForsakenCrags,418,-16.6,0,Mountainous,0,0
142,6.5828,-67.4227,RUT_WeepingStones,897,28.9,464,Mountainous,0.251,0
143,-6.5828,-67.4227,RUT_Contagion,1387,25.1,193,Mountainous,0,0
144,-10.6897,-54.7658,RUT_WeepingStones,594,38.5,354,LargeHills,0.2,0
145,10.6897,-54.7658,RUT_Greentide,89,39.6,0,SmallHills,0.3686,0
146,0,-47.0346,RUT_TheScald,-350,38.9,0,Flat,0,0
147,0,-132.9655,RUT_NightsideIce,453,-40.1,0,SmallHills,0,0
148,10.6897,-125.2342,RUT_TheRot,421,-29,0,Flat,0.4784,0
149,-10.6897,-125.2342,RUT_TheRot,623,-31.1,0,SmallHills,0.451,0
150,6.5828,-112.5773,RUT_TwilightSea,-350,-5.2,0,Flat,0,0
151,-6.5828,-112.5773,RUT_TheRot,697,-14.1,12,Mountainous,0.451,0
152,45.3793,-123.2789,RUT_ForsakenCrags,630,-17.2,0,Mountainous,0,0
153,47.8837,-142.7859,RUT_NightsideIce,793,-30.1,0,LargeHills,0,0
154,35.9504,-151.5701,RUT_NightsideIce,890,-47,0,SmallHills,0,0
155,23.9221,-144.2532,RUT_NightsideIce,810,-47.8,0,Flat,0,1
156,22.6644,-129.5165,RUT_NightsideIce,495,-31.2,0,Flat,0,0
157,32.2725,-118.663,RUT_NightsideIce,888,-20,0,LargeHills,0.349,0
158,71.7908,-139.73,RUT_Wasteland,47,-1.1,0,SmallHills,0,0
159,82.929,180,RUT_Wasteland,16,5.6,0,SmallHills,0,0
160,71.7908,139.73,RUT_TheRot,475,-6.5,0,SmallHills,0.2784,0
161,59.7622,155.6126,RUT_NightsideIce,1043,-25.9,0,LargeHills,0,0
162,59.7622,-155.6126,RUT_TheRot,406,-20.4,0,LargeHills,0.349,0
163,55.6121,180,RUT_TheRot,831,-31.2,0,LargeHills,0.4118,0
164,71.7908,-40.27,RUT_CrackedLands,12,25,0,Flat,0,0
165,59.7622,-24.3874,RUT_Desert,401,33.9,0,SmallHills,0,0
166,82.929,0,RUT_PoisonForest,1,17.8,0,Flat,0.3412,0
167,71.7908,40.27,RUT_Desert,87,23.4,0,Flat,0,0
168,55.6121,0,RUT_ExtremeDesert,1,39.4,0,Flat,0,0
169,59.7622,24.3874,RUT_CrackedLands,12,35.8,0,Flat,0,0
170,45.3793,-56.7211,RUT_ExtremeDesert,10,32,0,Flat,0,0
171,32.2725,-61.337,RUT_Miasma,1,30.9,0,Flat,0.902,0
172,47.8837,-37.2141,RUT_ExtremeDesert,391,37.6,0,LargeHills,0,0
173,35.9504,-28.4298,RUT_ExtremeDesert,182,48.9,0,SmallHills,0,0
174,22.6644,-50.4835,RUT_CrackedLands,65,40.8,0,Mountainous,0.451,0
175,23.9221,-35.7468,RUT_FeverWood,17,50.2,0,Flat,0.851,0
176,27.2871,-103.5267,RUT_TwilightSea,-350,-0.4,0,Flat,0,0
177,34.3737,-90,RUT_Desert,1,14,0,Flat,0,0
178,27.2871,-76.4733,RUT_TwilightSea,-350,23.6,0,Flat,0,0
179,13.7773,-78.0093,RUT_TwilightSea,-350,23.3,0,Flat,0,0.8271
180,13.7773,-101.9907,RUT_TwilightSea,-350,0,0,Flat,0,0
181,7.0166,-90,RUT_TwilightSea,-350,14,0,Flat,0,0
182,45.3793,123.2789,RUT_NightsideIce,1503,-23.3,4,Impassable,0,0
183,32.2725,118.663,RUT_ForsakenCrags,597,-19.3,0,LargeHills,0,0
184,47.8837,142.7859,RUT_NightsideIce,1212,-33,0,LargeHills,0,0
185,35.9504,151.5702,RUT_BlueDesert,1423,-47.9,0,LargeHills,0,0
186,22.6644,129.5165,RUT_NightsideIce,702,-34.3,0,SmallHills,0,0
187,23.9221,144.2532,RUT_Umbra,1078,-49.3,0,SmallHills,0,0
188,-11.6394,-165.9258,RUT_Umbra,940,-70.2,0,SmallHills,0,0
189,-11.9958,-152.0475,RUT_Umbra,980,-59.2,0,LargeHills,0,0
190,11.6394,-165.9258,RUT_Umbra,740,-71.8,0,Mountainous,0,0
191,0,-172.9826,RUT_Umbra,790,-77.2,0,LargeHills,0,0
192,11.9958,-152.0475,RUT_Umbra,1065,-62.7,0,SmallHills,0,0
193,0,-145.6218,RUT_Umbra,625,-54.6,0,LargeHills,0,0
194,-34.3737,-90,RUT_TheRot,866,8.4,0,Flat,0.4392,0
195,-27.2871,-76.4733,RUT_Desert,683,19.7,0,SmallHills,0,0
196,-7.0166,-90,RUT_PoisonForest,236,13.7,0,SmallHills,0,0
197,-13.7773,-78.0093,RUT_Desert,657,20.6,0,SmallHills,0,0
198,-13.7773,-101.9907,RUT_ForsakenCrags,496,-3.5,0,SmallHills,0,0
199,-27.2871,-103.5267,RUT_ForsakenCrags,913,-6.6,0,Mountainous,0,0
200,-11.6394,-14.0742,RUT_ExtremeDesert,584,58.5,0,Flat,0,0
201,0,-7.0174,RUT_ExtremeDesert,600,64.4,0,Flat,0,0.45
202,11.9958,-27.9525,RUT_TheScald,-350,50.1,0,Flat,0,0
203,11.6394,-14.0742,RUT_Webwork,611,59.4,294,Flat,0.5412,0
204,0,-34.3782,RUT_TheScald,-350,47.3,0,Flat,0,0
205,-11.9958,-27.9525,RUT_TheScald,-350,50.1,0,Flat,0,0.9783
206,47.8837,37.2141,RUT_ExtremeDesert,285,38.1,0,SmallHills,0,0.8924
207,45.3793,56.7211,RUT_Desert,764,29.1,0,SmallHills,0,0
208,35.9504,28.4299,RUT_ExtremeDesert,1,47.5,0,Flat,0,0
209,23.9221,35.7468,RUT_ExtremeDesert,391,47.9,0,LargeHills,0,0
210,22.6644,50.4835,RUT_ExtremeDesert,503,39.7,0,SmallHills,0,0
211,32.2725,61.337,RUT_ExtremeDesert,915,29.8,0,SmallHills,0,0
212,-45.3793,123.2789,RUT_Wasteland,14,-13.2,0,Flat,0,0
213,-47.8837,142.7859,RUT_BlueDesert,353,-26.9,0,LargeHills,0,0
214,-35.9504,151.5701,RUT_Umbra,326,-43.9,0,Mountainous,0.3098,0
215,-23.9221,144.2532,RUT_Umbra,474,-46.4,0,SmallHills,0.4118,0
216,-22.6644,129.5165,RUT_BlueDesert,376,-30.4,0,SmallHills,0,0
217,-32.2725,118.663,RUT_Wasteland,40,-13.2,0,Flat,0,0
218,-71.7908,-139.73,RUT_ForsakenCrags,765,-5.6,0,Flat,0,0
219,-59.7622,-155.6126,RUT_TheRot,1155,-25.1,0,Mountainous,0.298,0
220,-71.7908,139.73,RUT_Wasteland,583,-5.8,0,Flat,0,0
221,-82.929,-180,RUT_Wasteland,654,3.7,0,SmallHills,0,0
222,-59.7622,155.6126,RUT_Wasteland,633,-22.5,0,SmallHills,0,0
223,-55.6121,-180,RUT_TheRot,1007,-31.3,0,Mountainous,0.2706,0
224,-82.929,0,RUT_Wasteland,219,18.3,0,Flat,0,0.1784
225,-71.7908,-40.27,RUT_Desert,35,26.3,0,Flat,0,0
226,-71.7908,40.27,RUT_Desert,99,22.8,0,Flat,0,0
227,-59.7622,24.3874,RUT_Desert,409,33,0,Flat,0,0
228,-55.6121,0,RUT_ExtremeDesert,108,39.7,0,SmallHills,0,0
229,-59.7622,-24.3874,RUT_Desert,37,37.2,0,Flat,0,0
230,-45.3793,56.7211,RUT_Desert,245,31.3,0,SmallHills,0,0
231,-32.2725,61.337,RUT_Wasteland,186,32.5,0,LargeHills,0,0
232,-47.8837,37.2141,RUT_ExtremeDesert,376,38.5,0,SmallHills,0,0
233,-35.9504,28.4298,RUT_ExtremeDesert,39,49.8,0,Flat,0,0
234,-22.6644,50.4835,RUT_ExtremeDesert,795,36.9,0,Mountainous,0,0
235,-23.9221,35.7468,RUT_ExtremeDesert,61,49.5,0,SmallHills,0,0.8505
236,-27.2871,103.5267,RUT_CrackedLands,34,0.8,0,Flat,0,0
237,-34.3737,90,RUT_AridShrubland,14,14,0,SmallHills,0,0
238,-27.2871,76.4733,RUT_Desert,10,23.4,0,Flat,0,0
239,-13.7773,78.0093,RUT_CrackedLands,36,23.3,0,Flat,0,0.8215
240,-13.7773,101.9907,RUT_Wasteland,1,-0.7,0,LargeHills,0,0
241,-7.0166,90,RUT_Wasteland,8,13.7,0,Flat,0,0
242,0,172.9826,RUT_PropaneLake,-60,-76.5,0,Flat,0.2118,0
243,-11.6394,165.9258,RUT_Umbra,789,-71.9,0,Flat,0,0
244,11.9958,152.0475,RUT_Umbra,287,-57.3,0,LargeHills,0.2392,0
245,11.6394,165.9258,RUT_Umbra,360,-66.8,0,LargeHills,0.2392,0
246,-11.9958,152.0475,RUT_Umbra,580,-61,0,LargeHills,0,0
247,0,145.6218,RUT_Umbra,489,-54.3,0,LargeHills,0,0
248,-32.2725,-118.663,RUT_TheRot,945,-21.6,0,SmallHills,0.2314,0
249,-45.3793,-123.2789,RUT_TheRot,1536,-22.9,0,LargeHills,0.3216,0
250,-47.8837,-142.7859,RUT_NightsideIce,1166,-31.3,0,SmallHills,0,0
251,-35.9504,-151.5702,RUT_NightsideIce,706,-43.6,0,SmallHills,0,0
252,-23.9221,-144.2532,RUT_NightsideIce,862,-48.3,0,SmallHills,0.3098,0
253,-22.6644,-129.5165,RUT_TheRot,1086,-35.6,0,SmallHills,0.4392,0
254,-47.8837,-37.2141,RUT_ExtremeDesert,69,40.7,0,Flat,0,0
255,-45.3793,-56.7211,RUT_ExtremeDesert,44,33.9,0,Flat,0,0
256,-23.9221,-35.7468,RUT_Greentide,267,48.4,0,LargeHills,0.3686,0
257,-35.9504,-28.4299,RUT_ExtremeDesert,260,46.4,0,Flat,0,0
258,-32.2725,-61.337,RUT_ExtremeDesert,422,32.1,0,LargeHills,0,0
259,-22.6644,-50.4835,RUT_Contagion,1202,36.7,417,Impassable,0.051,0
260,-11.9958,27.9525,RUT_ExtremeDesert,370,54.9,0,Flat,0,0
261,-11.6394,14.0742,RUT_ExtremeDesert,585,63.1,0,Flat,0,0
262,0,7.0174,RUT_RustCathedral,618,63.7,0,Flat,0,0.95
263,11.6394,14.0742,RUT_ExtremeDesert,611,58.2,0,SmallHills,0,0.45
264,11.9958,27.9525,RUT_ExtremeDesert,33,56.2,0,Flat,0,0
265,0,34.3782,RUT_ExtremeDesert,714,49.6,4,LargeHills,0,0
266,27.2871,76.4733,RUT_Desert,184,23.8,0,SmallHills,0,0
267,34.3737,90,RUT_Desert,74,13.7,0,SmallHills,0,0
268,7.0166,90,RUT_GreySea,-350,14,0,Flat,0,0
269,13.7773,78.0093,RUT_CrackedLands,26,23.5,0,SmallHills,0,0
270,27.2871,103.5267,RUT_GreySea,-350,-0.4,0,Flat,0,0
271,13.7773,101.9907,RUT_GreySea,-350,0,0,Flat,0,0
272,53.2118,-84.0441,RUT_Wasteland,8,16.6,0,Flat,0,0
273,53.2118,-95.9559,RUT_Desert,4,9.2,0,Flat,0,0.9061
274,59.6526,-101.4798,RUT_Wasteland,22,7.6,0,Flat,0,0
275,64.3391,-90,RUT_Desert,27,14.7,0,Flat,0,0
276,59.6526,-78.5202,RUT_Desert,25,19.4,0,Flat,0,0
277,59.6526,78.5202,RUT_TheRot,323,17.1,0,Flat,0.349,0
278,53.2118,84.0441,RUT_TheRot,529,14.1,0,Flat,0.349,0
279,64.3391,90,RUT_TheRot,340,12.4,0,SmallHills,0.2196,0
280,53.2118,95.9559,RUT_TheRot,476,7.8,0,Flat,0.4118,0
281,59.6526,101.4798,RUT_TheRot,365,5,0,Flat,0.2706,0.963
282,-59.6526,-101.4798,RUT_Wasteland,948,1.6,0,SmallHills,0,0
283,-59.6526,-78.5202,RUT_Desert,143,17.9,0,SmallHills,0,0
284,-53.2118,-84.0441,RUT_Desert,154,15.3,0,Flat,0,0
285,-64.3391,-90,RUT_Desert,522,10.8,0,SmallHills,0,0
286,-53.2118,-95.9559,RUT_Desert,584,6.3,0,SmallHills,0,0
287,-53.2118,84.0441,RUT_CrackedLands,72,17.3,0,LargeHills,0,0
288,-53.2118,95.9559,RUT_CrackedLands,16,9.9,0,Flat,0,0
289,-59.6526,101.4798,RUT_AridShrubland,1,6.2,0,Flat,0,0
290,-64.3391,90,RUT_CrackedLands,493,13.1,0,LargeHills,0,0
291,-59.6526,78.5202,RUT_CrackedLands,132,18,0,Mountainous,0,0
292,-29.6668,173.3562,RUT_Umbra,351,-59.4,0,SmallHills,0,0
293,-36.5464,-175.5644,RUT_Umbra,160,-49.9,0,SmallHills,0,0
294,-29.6668,-173.3562,RUT_Umbra,286,-58.6,0,SmallHills,0,0
295,-36.5464,175.5644,RUT_Umbra,305,-51.1,0,Flat,0,0
296,-25.6474,-180,RUT_Umbra,1116,-63.3,0,LargeHills,0,0
297,36.5464,175.5644,RUT_BlueDesert,1897,-55.3,0,Mountainous,0.4,0
298,29.6668,173.3562,RUT_Umbra,1145,-63.2,0,LargeHills,0.3608,0
299,25.6474,180,RUT_Umbra,1900,-66.8,4,Mountainous,0.3804,0
300,36.5464,-175.5644,RUT_BlueDesert,1319,-56.6,0,LargeHills,0,0
301,29.6668,-173.3562,RUT_Umbra,1494,-66.4,0,SmallHills,0,0
302,-36.5464,-4.4356,RUT_ExtremeDesert,1,52.3,0,Flat,0,0
303,-29.6668,6.6438,RUT_ExtremeDesert,23,58.3,0,Flat,0,0
304,-25.6474,0,RUT_ExtremeDesert,18,60,0,Flat,0,0
305,-36.5464,4.4356,RUT_ExtremeDesert,69,52.6,0,SmallHills,0,0
306,-29.6668,-6.6438,RUT_ExtremeDesert,1,57,0,Flat,0,0
307,29.6668,-6.6438,RUT_ExtremeDesert,65,57.3,0,SmallHills,0,0
308,25.6474,0,RUT_Miasma,133,58.1,0,SmallHills,0.6196,0
309,29.6668,6.6438,RUT_ExtremeDesert,62,56.8,0,SmallHills,0,0
310,36.5464,-4.4356,RUT_ExtremeDesert,5,53,0,Flat,0,0
311,36.5464,4.4356,RUT_ExtremeDesert,1,52.6,0,Flat,0,0
312,-3.5617,53.3675,RUT_ExtremeDesert,491,39.4,0,LargeHills,0,0
313,0,64.3501,RUT_Contagion,1923,23.6,395,Impassable,0,0
314,5.769,60.1639,RUT_ExtremeDesert,568,34.3,0,LargeHills,0,0
315,-5.769,60.1639,RUT_Desert,942,32.1,4,LargeHills,0,0
316,3.5617,53.3675,RUT_ExtremeDesert,541,39.7,0,LargeHills,0,0
317,0,115.6499,RUT_ForsakenCrags,260,-18.8,0,LargeHills,0,0
318,3.5617,126.6326,RUT_BlueDesert,415,-31.8,0,Flat,0,0
319,-3.5617,126.6326,RUT_NightsideIce,601,-32.5,0,SmallHills,0,0
320,5.769,119.8362,RUT_NightsideIce,494,-24.3,0,Flat,0,0
321,-5.769,119.8362,RUT_NightsideIce,309,-23.4,0,SmallHills,0,0
322,0,-64.3501,RUT_Contagion,1228,28.4,22,Impassable,0,0
323,-5.769,-60.1639,RUT_CrackedLands,1062,31.9,26,Impassable,0,0
324,-3.5617,-53.3675,RUT_CrackedLands,788,37,1390,Mountainous,0.5294,0
325,5.769,-60.1639,RUT_CrackedLands,431,35.5,0,Mountainous,0.051,0
326,3.5617,-53.3675,RUT_Webwork,322,39.4,0,Flat,0.3804,0
327,-3.5617,-126.6326,RUT_TheRot,575,-33.3,0,SmallHills,0.502,0
328,3.5617,-126.6326,RUT_TheRot,175,-30.5,0,SmallHills,0.5098,0
329,-5.769,-119.8362,RUT_TheRot,591,-22.5,0,Flat,0.2784,0
330,5.769,-119.8362,RUT_TheRot,226,-15,0,LargeHills,0.5608,0
331,0,-115.6499,RUT_TwilightSea,-350,-8.2,0,Flat,0,0
332,43.1105,-133.6302,RUT_NightsideIce,567,-25.9,0,SmallHills,0,0
333,39.8997,-143.1129,RUT_NightsideIce,843,-37.7,0,SmallHills,0,0
334,31.89,-143.6128,RUT_NightsideIce,780,-42.8,0,SmallHills,0,0
335,27.4125,-136.2769,RUT_NightsideIce,762,-37.9,0,Flat,0,0
336,30.2395,-127.7049,RUT_NightsideIce,638,-27.6,0,SmallHills,0,0
337,37.8411,-125.6687,RUT_NightsideIce,1019,-24.7,0,Mountainous,0.3294,0
338,75.4542,-164.2857,RUT_ForsakenCrags,114,-3,0,LargeHills,0,0
339,75.4542,164.2857,RUT_ForsakenCrags,331,-5.5,0,LargeHills,0,0
340,67.627,158.7523,RUT_ForsakenCrags,567,-14.9,0,SmallHills,0,0
